Marker	fam_08_LG	fam_08_cM
28633_x1	33	70.177
63727_x1	15	11.245
78591_x1	8	41.034
48742_x1	35	70.815
42431_x1	30	61.386
27481_x1	29	63.735
53426_x1	5	126.268
45459_x1	27	30.011
7034_x1	37	65.413
11755_x1	11	70.382
11156_x1	2	41.102
40534_x1	22	37.026
28302_x1	4	126.837
22127_x1	25	25.387
24725_x1	10	7.419
9551_x1	4	17.573
7885_x1	5	132.105
11361_x1	3	138.369
49380_x1	1	128.547
41958_x1	14	110.505
67856_x1	34	65.833
11769_x1	21	133.331
65674_x1	35	8.7
15172_x2	32	54.801
15172_x1	21	105.865
51703_x1	1	128.547
20849_x1	4	59.54
42651_x1	5	137.914
51116_x1	8	18.494
11769_x2	32	78.156
606_x1	13	69.615
52875_x1	23	57.308
39883_x1	4	8.973
42581_x1	2	11.224
46469_x1	24	75.431
51836_x1	4	71.99
24225_x1	9	8.771
13736_x1	5	99.608
7176_x1	36	69.935
28779_x1	11	10.001
2080_x1	14	82.519
51178_x1	11	118.683
37715_x1	19	69.37
56875_x1	1	3.742
48746_x1	14	109.959
21868_x1	13	64.324
67388_x1	16	97.414
14787_x1	8	4.055
30849_x1	2	149.633
10039_x1	22	14.245
13700_x1	9	145.887
28883_x1	9	58.906
55345_x1	10	75.455
77000_x1	8	121.265
6070_x1	7	26.443
14383_x1	18	58.704
59441_x1	7	2.482
64189_x1	27	0.926
29556_x1	16	14.9
68919_x1	16	60.606
61338_x1	24	45.673
5417_x1	25	58.807
4423_x1	37	53.119
65321_x1	23	48.315
64824_x1	6	38.819
50752_x1	4	83.708
47884_x1	26	38.494
54241_x1	15	1.539
57958_x1	6	119.026
5965_x1	36	48.37
8925_x1	9	171.164
46442_x1	10	58.033
77134_x1	9	141.502
10550_x1	25	56.438
42251_x1	12	70.701
47838_x1	14	0.149
60506_x1	4	100.742
60506_x2	4	101.152
43213_x1	29	63.316
18825_x1	28	65.318
72236_x1	22	48.7
46751_x1	31	16.71
58471_x1	33	85.82
11298_x1	36	41.47
64806_x1	21	136.201
5067_x1	37	43.767
68431_x1	7	131.846
61337_x1	8	61.48
41372_x1	1	77.872
3560_x1	3	110.154
53501_x1	1	128.547
79222_x1	12	7.709
4287_x1	17	48.487
56629_x1	35	84.284
3262_x1	29	59.805
11001_x1	17	3.868
43228_x1	35	84.449
43228_x2	10	124.376
39989_x1	13	61.513
47784_x1	19	65.362
87265_x1	3	140.751
41763_x1	5	26.041
47550_x1	6	122.366
18055_x1	8	0.625
72940_x1	5	10.379
72314_x1	36	47.949
53628_x1	12	6.399
42894_x1	5	0
70089_x1	3	112.138
7066_x1	12	141.521
76824_x1	29	62.082
31583_x1	25	62.741
47786_x1	11	128.005
8723_x1	21	12.553
55092_x1	1	92.27
4354_x1	9	87.115
66363_x1	35	50.648
43139_x1	19	63.975
61146_x1	20	59.858
41359_x1	18	30.796
799_x1	31	10.413
14465_x1	2	6.59
62786_x1	7	140.174
62786_x2	36	72.765
67369_x1	1	128.547
60502_x1	19	31.005
61144_x1	23	37.006
5250_x1	16	0
51600_x1	35	58.29
45656_x1	5	68.156
60894_x1	12	138.571
10574_x1	8	72.052
8830_x1	22	56.887
58845_x1	12	27.84
3124_x1	9	141.502
68463_x1	1	74.412
25101_x1	33	0.831
Oke_U507-87_x1	9	8.62
9758_x1	26	29.016
53839_x1	4	8.973
52447_x1	3	104.772
23411_x1	23	41.264
65021_x1	28	3.814
41119_x1	34	61.933
6837_x1	25	69.827
74161_x1	21	102.966
8314_x1	20	48.858
32281_x1	2	45.466
53613_x1	3	138.369
77847_x1	15	1.689
51196_x1	15	21.178
63531_x1	13	55.783
55825_x1	6	38.819
55214_x1	20	68.75
68032_x1	16	22.189
77534_x1	2	155.858
51235_x1	5	37.062
77534_x2	21	5.719
23575_x1	10	59.427
51015_x1	7	46.767
77841_x1	35	51.714
15805_x1	5	126.437
71176_x1	21	102.836
57272_x1	9	145.887
11530_x1	16	4.439
74455_x1	10	0.649
60789_x1	24	11.035
55581_x1	5	38.249
51233_x1	2	68.162
54330_x1	6	30.174
1488_x1	31	3.002
11063_x1	23	45.498
20719_x1	17	9.533
58257_x1	6	100.009
53999_x1	16	60.029
12105_x1	7	1.821
8071_x1	18	1.613
46696_x1	19	40.251
53500_x1	33	52.79
71317_x1	14	0.149
26653_x1	17	36.789
4208_x1	3	16.641
58435_x1	20	48.858
52142_x1	24	3.459
65652_x1	7	40.892
67263_x1	12	113.442
78856_x1	7	7.236
37562_x1	12	146.313
16947_x1	21	78.26
63689_x1	2	12.027
48881_x1	23	26.796
79195_x1	7	118.082
41415_x1	6	146.121
67610_x1	7	71.532
12139_x1	16	0
57659_x1	13	59.277
57726_x1	1	5.496
77545_x1	3	3.871
70947_x1	2	12.899
22237_x1	1	2.98
3464_x1	11	18.469
54973_x1	11	69.266
61161_x1	25	67.841
55740_x1	5	78.927
34246_x1	8	42.5
45470_x1	17	2.533
64003_x1	11	29.344
5553_x1	4	2.583
41447_x1	22	37.026
45024_x1	15	6.013
44119_x1	4	124.323
83300_x1	19	15.884
68712_x1	30	6.441
61904_x1	27	0
11052_x1	21	107.058
61377_x1	21	12.01
71661_x1	2	65.889
42196_x1	17	6.704
47362_x1	28	39.26
78082_x1	8	71.488
11385_x1	6	146.121
30265_x1	11	9.154
45342_x1	7	118.082
42235_x1	6	12.414
73279_x1	29	55.805
18659_x1	4	11.009
79133_x1	22	54.358
19093_x1	19	57.31
56529_x1	4	2.891
97050_x1	16	22.555
45758_x1	27	63.402
54160_x1	21	25.921
59594_x1	24	31.999
70552_x1	8	117.135
59924_x1	32	4.815
46958_x1	7	75.293
3544_x1	16	97.266
47341_x1	31	4.104
7692_x1	9	150.502
64109_x1	34	65.833
40225_x1	34	59.056
51295_x1	36	54.934
17872_x1	26	0.846
56953_x1	6	141.875
21551_x1	25	62.359
64120_x1	24	45.673
13900_x1	26	1.076
58325_x1	6	15.286
63683_x1	10	7.553
66971_x1	8	4.987
64796_x1	9	82.423
12732_x1	2	42.29
78668_x1	19	63.713
6584_x1	34	67.091
61806_x1	37	29.905
62701_x1	32	42.389
78206_x1	11	128.118
57238_x1	29	64.725
62495_x1	7	81.75
16579_x1	2	22.565
28999_x1	9	58.788
6021_x1	2	23.26
10320_x1	15	26.588
67045_x1	13	70.916
19068_x1	16	39.817
47305_x1	23	27.057
55791_x1	9	156.425
55065_x1	27	65.251
56986_x1	1	42.315
28380_x1	2	155.858
11282_x1	10	114.02
64449_x1	5	69.694
48197_x1	4	9.734
64402_x1	4	141.548
54766_x1	28	22.313
3379_x1	20	60.751
21615_x1	22	33.106
41751_x1	32	54.192
19844_x1	26	4.827
48869_x1	24	31.611
2635_x1	2	116.344
34705_x1	33	84.672
31241_x1	24	3.56
32299_x1	2	0.433
56602_x1	10	0
40221_x1	22	48.958
54470_x1	12	30.302
56804_x1	17	27.365
315_x1	7	129.476
78395_x1	33	46.485
55485_x1	21	55.981
49375_x1	2	65.217
49563_x1	30	0.231
68171_x1	22	45.113
30614_x1	11	20.536
11138_x1	19	49.619
53158_x1	31	0.679
55129_x1	9	30.723
45737_x1	12	42.93
10608_x1	28	65.027
59686_x1	24	3.459
11102_x1	8	49.151
5117_x1	4	78.582
15216_x1	34	35.424
68813_x1	11	20.536
57020_x1	15	6.585
73638_x1	4	101.351
79115_x1	2	42.801
55944_x1	1	23.321
42429_x1	7	90.538
44684_x1	27	65.251
25530_x1	7	44.646
9465_x1	4	138.415
2792_x1	8	119.507
65729_x1	11	4.19
28501_x1	21	70.532
79071_x1	33	67.821
65728_x1	22	56.657
45583_x1	4	17.573
55531_x1	20	18.916
57046_x1	17	26.642
63707_x1	34	65.833
12537_x1	15	17.977
9463_x1	25	70.388
57290_x1	5	143.168
59631_x1	14	28.165
32840_x1	21	100.122
35138_x1	28	65.027
52887_x1	11	57.772
2866_x1	6	71.59
73562_x1	1	23.698
68678_x1	14	111.052
17181_x1	7	140.174
53897_x1	2	128.759
75584_x1	8	0
54352_x1	19	61.804
53758_x1	3	84.239
52889_x1	24	2.929
57456_x1	11	102.897
58946_x1	6	70.107
46340_x1	36	62.817
41546_x1	35	89.738
39138_x1	15	1.244
42850_x1	7	6.371
13241_x1	2	27.266
50505_x1	1	112.016
65938_x1	19	15.721
16505_x1	4	79.019
4310_x1	32	87.939
68764_x1	35	14.7
3235_x1	23	65.664
60566_x1	30	14.758
70723_x1	25	15.145
71415_x1	22	37.542
12413_x1	32	54.358
6781_x1	17	3.868
65403_x1	35	8.7
49989_x1	8	42.954
73242_x1	35	103.784
688_x1	18	42.98
26570_x1	31	11.586
20965_x1	30	61.386
5983_x1	37	68.513
60474_x1	2	128.119
72740_x1	3	44.679
61597_x1	14	0.149
11593_x1	1	1.088
50978_x1	8	2.949
1292_x1	31	4.652
44890_x1	23	64.455
77226_x1	5	29.045
77655_x1	34	65.833
70133_x1	30	21.458
48815_x1	18	5.54
42803_x1	13	69.874
17885_x1	4	23.711
58918_x1	36	48.37
3122_x1	6	49.457
65557_x1	20	0
39166_x1	3	145.617
5041_x1	10	12.297
38026_x1	23	60.405
26196_x1	5	79.337
68932_x1	14	111.57
42546_x1	10	121.059
13086_x1	4	71.426
60823_x1	9	85.954
65898_x1	37	72.108
22596_x1	24	28.389
56446_x1	24	3.061
16605_x1	27	7.245
57328_x1	18	79.294
53348_x1	7	112.482
47317_x1	1	123.482
40429_x1	9	20.223
65313_x1	7	142.331
16135_x1	30	4.95
48052_x1	31	51.264
10994_x1	9	156.425
41889_x1	16	4.439
25668_x1	7	33.917
59265_x1	36	70.491
12699_x1	30	61.386
70157_x1	24	23.03
8556_x1	8	39.291
6858_x1	23	45.498
48175_x1	16	0
7424_x1	20	49.523
64942_x1	6	16.575
6628_x1	6	146.121
48728_x1	28	38.816
1822_x1	2	155.858
18723_x1	17	0
12060_x1	15	54.639
75178_x1	25	68.162
56888_x1	18	1.82
76101_x1	12	113.975
77020_x1	11	34.389
20351_x1	1	128.547
11447_x1	13	49.157
2388_x1	2	104.953
21625_x1	7	75.166
678_x1	37	43.767
52508_x1	15	1.997
39864_x1	8	1.141
8185_x1	7	143.14
12066_x1	22	56.887
55510_x1	13	8.877
49553_x1	11	2.661
25166_x1	5	60.737
52911_x1	21	89.983
5909_x1	26	2.452
29526_x1	12	5.363
53111_x1	24	20.661
58381_x1	7	21.843
4798_x1	19	56.748
18274_x1	14	0
60261_x1	11	51.029
63140_x1	28	63.704
60024_x1	19	30.652
53078_x1	14	0.149
5902_x1	27	30.129
5091_x1	16	58.456
2091_x1	32	91.824
86647_x1	8	71.8
62084_x1	5	73.815
50414_x1	31	48.717
34803_x1	33	82.504
4944_x1	22	27.771
3572_x1	11	76.325
723_x1	3	141.484
54083_x1	7	143.711
85361_x1	18	61.343
27931_x1	23	42.738
59031_x1	7	71.759
2539_x1	29	51.281
57256_x1	10	55.629
49465_x1	9	145.887
52741_x1	18	46.706
54894_x1	17	22.444
50252_x1	35	43.286
8853_x1	26	8.871
62679_x1	22	19.267
60623_x1	21	12.553
4436_x1	31	5.108
58647_x1	21	32.392
15008_x1	32	54.801
73583_x1	6	145.997
13326_x1	18	1.82
44277_x1	15	6.013
73429_x1	10	55.629
63920_x1	34	18.925
71034_x1	26	9.39
40924_x1	34	58.537
48529_x1	11	10.83
57362_x1	12	8.263
73585_x1	14	0.149
28714_x1	1	4.807
46774_x1	24	72.905
48403_x1	1	126.347
54179_x1	9	163.598
56983_x1	3	95.059
63924_x1	11	33.265
54425_x1	16	86.047
4226_x1	29	9.148
4057_x1	5	4.876
52006_x1	8	37.842
24691_x1	11	11.373
1144_x1	20	63.925
59109_x1	9	86.378
87629_x1	11	51.546
57010_x1	16	18.891
63824_x1	22	8.147
7310_x1	19	63.408
42772_x1	11	102.244
50468_x1	18	1.82
60627_x1	29	23.83
54893_x1	20	66.703
72662_x1	28	48.891
4652_x1	29	46.905
15241_x1	31	46.979
54355_x1	14	71.985
45840_x1	14	95.081
55566_x1	27	7.245
64272_x1	35	74.93
50572_x1	13	59.652
35561_x1	18	79.408
66916_x1	29	4.415
18513_x1	17	57.597
21424_x1	14	16.266
41536_x1	2	12.027
Oke_u0602-244_x1	17	22.667
63736_x1	3	10.737
65943_x1	35	62.458
14776_x1	29	63.187
61761_x1	30	14.758
77388_x1	17	0.888
32885_x1	16	3.842
63084_x1	23	19.729
11631_x1	12	101.287
46570_x1	14	0.769
77413_x1	33	58.757
Oke_NHERF-54_x1	24	3.681
73561_x1	5	81.995
49149_x1	33	61.47
73282_x1	2	51.562
49513_x1	26	12.78
22370_x1	2	2.969
68534_x1	33	15.239
71466_x1	17	39.491
61395_x2	34	67.602
61395_x1	9	10.491
64554_x1	28	5.568
53994_x1	26	29.717
61551_x1	11	28.994
16683_x1	29	55.805
56930_x1	13	71.451
54538_x1	4	0.863
62670_x1	14	107.945
61553_x1	36	80.146
76475_x1	23	18.271
75942_x1	4	69.509
65233_x1	34	0
48642_x1	34	34.858
58002_x1	7	34.656
3773_x1	15	7.184
58978_x1	26	42.783
60565_x1	20	60.222
4037_x1	29	64.502
19393_x1	24	75.431
53798_x1	4	80.541
7977_x1	20	0
75527_x1	10	20.386
4154_x1	12	5.363
50725_x1	3	10.612
72310_x1	23	23.849
67235_x1	1	110.703
6494_x1	23	62.459
3965_x1	5	10.075
124_x1	5	81.354
10892_x1	35	85.612
11357_x1	2	11.467
1334_x1	17	3.868
62847_x1	5	4.253
55741_x1	9	122.275
6492_x1	26	12.78
13430_x1	34	57.718
71325_x1	6	9.909
6047_x1	10	14.059
13908_x1	11	128.005
74450_x1	27	30.129
11144_x1	26	61.512
66997_x1	18	89.319
69938_x1	1	128.547
3083_x1	36	42.067
11667_x1	3	62.111
16574_x1	5	115.296
54872_x1	32	0.566
60484_x1	7	7.122
50699_x1	16	4.723
73025_x1	4	2.025
54277_x1	13	69.01
31648_x1	4	139.608
26192_x1	8	26.511
31648_x2	9	174.034
23965_x1	9	31.816
63106_x1	4	57.88
56315_x1	7	19.39
65036_x1	4	3.052
54142_x1	19	55.568
14726_x1	21	9.699
63160_x1	8	96.194
27861_x1	9	98.277
65486_x1	5	29.91
53211_x1	3	138.634
41385_x1	5	45.33
61930_x1	18	64.807
65156_x1	12	70.871
44880_x1	32	34.167
49699_x1	22	6.955
18822_x1	5	67.637
8672_x1	7	130.701
12695_x1	6	107.991
55033_x1	14	103.843
10029_x1	17	6.144
2644_x1	22	40.737
46232_x1	23	48.705
70191_x1	20	68.565
7340_x1	17	37.446
49246_x1	6	147.881
66700_x1	27	30.129
64408_x1	10	67.178
2882_x1	4	8.973
8845_x1	3	8.183
51444_x1	6	114.867
50253_x1	28	65.167
10072_x1	1	2.016
43952_x1	34	5.619
85372_x1	34	65.833
44471_x1	18	79.527
55337_x1	4	119.475
78451_x1	19	26.39
58064_x1	16	4.823
22852_x1	12	0.674
42590_x1	10	12.905
67400_x1	2	74.312
74288_x1	23	59.053
63102_x1	10	20.386
51574_x1	14	114.036
65150_x1	18	3.942
30940_x1	6	68.089
54104_x1	18	45.982
74507_x1	8	4.055
66182_x1	7	77.258
5977_x1	18	12.433
10314_x1	11	50.14
83129_x1	12	43.156
1118_x1	9	19.151
6026_x1	24	3.338
7293_x1	9	26.055
22094_x1	11	50.573
66592_x1	3	61.403
57551_x1	21	71.223
5484_x1	2	5.838
9835_x1	37	30.346
28272_x1	36	70.491
6235_x1	4	134.986
57405_x1	7	135.377
9532_x1	1	1.793
61659_x1	18	2.185
72796_x1	2	15.318
71731_x1	28	29.555
57892_x1	8	44.685
49027_x1	1	77.769
56730_x1	11	71.27
52427_x1	4	17.573
45318_x1	12	4.867
23854_x1	5	57.409
65722_x1	28	39.134
63217_x1	1	43.674
59612_x1	34	59.992
73632_x1	6	148.199
63691_x1	32	79.391
54854_x1	2	119.939
14560_x1	20	48.858
26801_x1	35	81.552
21510_x1	37	29.467
62860_x1	34	24.79
55407_x1	18	88.219
77046_x1	5	24.336
28288_x1	27	65.394
49639_x1	4	114.384
5587_x1	16	59.412
69307_x1	30	21.458
55912_x1	17	37.77
77040_x1	8	21.548
70950_x1	15	4.654
16812_x1	35	87.459
8439_x1	11	91.034
2516_x1	3	67.288
2951_x1	19	13.632
62030_x1	29	63.316
59998_x1	10	20.386
26270_x1	33	95.123
49437_x1	22	19.267
63670_x1	22	33.445
11577_x1	14	121.678
63505_x1	31	7.97
25617_x1	6	129.241
10727_x1	1	46.849
40456_x1	7	71.39
58420_x1	4	109.724
12565_x1	6	141.075
55837_x1	7	31.873
58619_x1	14	13.812
42582_x1	14	107.669
21478_x1	36	72.765
66869_x1	10	116.329
71070_x1	27	43.463
59184_x1	7	1.648
48861_x1	6	39.963
70773_x1	19	63.528
60475_x1	11	117.601
54055_x1	12	30.302
58589_x1	36	54.186
62330_x1	26	5.747
13270_x1	8	122.019
64155_x1	8	21.39
44689_x1	18	2.185
55162_x1	12	1.161
9050_x1	25	37.483
41790_x1	27	64.157
78218_x1	8	44.685
77599_x1	2	1.885
73088_x1	12	93.697
5639_x1	2	107.272
16828_x1	33	5.194
68990_x1	30	62.578
68079_x1	18	1.82
50897_x1	32	62.947
21534_x1	30	34.684
73675_x1	1	4.11
19974_x1	2	2.869
8295_x1	6	148.617
68545_x1	12	129.58
18234_x1	15	6.585
47994_x1	3	11.776
5364_x1	4	57.604
53565_x1	22	41.697
188_x1	35	14.973
41672_x1	30	21.458
57572_x1	1	120.313
4597_x2	12	140.721
45623_x1	5	137.914
64639_x1	31	28.854
15074_x1	12	125.031
9578_x1	1	128.547
3710_x1	4	69.509
21443_x1	31	5.491
10531_x1	10	124.944
67257_x1	4	128.545
73115_x1	1	47.75
63765_x1	37	23.835
22196_x1	34	65.833
69899_x1	27	13.434
63561_x1	19	71.899
62617_x1	3	89.721
45951_x1	22	9.966
522_x1	9	9.603
10537_x1	21	77.616
60308_x1	8	11.858
77946_x1	32	41.341
42697_x1	21	45.973
58404_x1	8	13.659
51468_x1	15	35.424
42378_x1	31	43.209
72417_x1	23	64.455
57789_x1	1	4.807
49374_x1	2	158.716
47683_x1	36	33.629
32284_x1	31	10.543
70425_x1	8	46.599
49607_x1	12	147.194
96536_x1	1	43.197
68077_x1	20	68.397
32201_x1	9	151.125
46399_x1	15	36.512
56117_x1	31	0.432
54661_x1	2	65.889
18991_x1	24	59.16
29600_x1	17	37.77
60227_x1	1	4.923
62066_x1	29	55.609
52995_x1	20	51.181
11978_x1	32	45.952
49919_x1	22	56.112
48296_x2	34	65.833
54878_x1	26	13.212
48296_x1	9	10.678
4878_x1	28	34.794
6422_x1	7	74.795
40718_x1	29	43.553
55783_x1	16	89.649
14211_x1	1	127.985
63769_x1	26	0.529
61912_x1	12	143.937
59367_x1	27	65.251
63247_x1	35	97.717
45902_x1	27	0.445
14534_x1	9	58.037
55467_x1	31	25.728
1860_x1	26	1.076
55075_x1	30	50.747
22503_x1	7	74.375
50150_x1	33	46.091
43393_x1	19	63.528
28853_x1	6	120.841
58639_x1	4	37.414
9786_x1	36	72.765
78702_x1	3	10.737
59950_x1	36	42.442
17681_x1	11	120.244
10715_x1	4	4.549
17806_x1	31	8.154
21052_x1	21	77.942
49370_x1	23	66.291
1542_x1	10	60.85
63640_x1	31	36.02
62179_x1	3	3.224
59104_x1	5	92.524
6446_x1	12	83.051
9784_x1	23	65.341
17683_x1	11	20.536
42525_x1	3	5.401
58082_x1	5	1.574
6566_x1	6	142.316
2699_x1	3	146.622
73715_x1	15	3.156
50874_x1	15	0.847
71749_x1	20	66.226
58123_x1	30	16.837
14611_x1	16	31.627
57204_x1	28	30.165
64562_x1	7	70.565
6723_x1	9	158.716
53721_x1	35	24.664
41910_x1	25	38.38
10920_x1	2	66.461
71829_x1	2	99.067
7769_x1	1	128.547
52725_x1	6	36.009
68111_x1	18	19.279
54325_x1	11	13.667
65625_x1	22	0
59076_x1	7	12.347
62988_x1	11	69.592
501_x1	18	84.744
79185_x1	26	20.908
30900_x1	10	75.455
45970_x1	23	26.527
5503_x1	12	117.713
43407_x1	2	51.45
57054_x1	3	22.542
55475_x1	5	147.699
26020_x1	6	46.763
40309_x1	10	47.512
15557_x1	33	16.077
10140_x1	6	38.819
15352_x1	7	7.122
48065_x1	4	9.734
6442_x1	3	11.776
307_x1	32	67.083
43387_x1	36	70.491
10759_x1	22	56.887
6725_x1	10	109.48
41505_x1	21	120.716
59793_x1	4	123.382
10418_x1	8	77.303
74107_x1	25	67.007
1136_x1	30	62.01
51793_x1	7	82.014
507_x1	12	42.455
74836_x1	3	138.369
60686_x1	15	23.733
41099_x1	26	1.183
45687_x1	9	12.155
72750_x1	37	64.279
15225_x1	36	42.822
47493_x1	28	4.978
63085_x1	31	3.414
77285_x1	35	38.045
55358_x1	18	59.446
59407_x1	35	87.459
59407_x2	10	124.944
46665_x1	30	14.907
75547_x1	6	148.772
11288_x1	23	70.831
70105_x1	11	128.118
4966_x1	1	34.114
7735_x1	17	54.277
62505_x1	20	20.798
8432_x1	12	112.382
75300_x1	12	132.516
40077_x1	21	6.792
19728_x1	13	0.228
75559_x1	7	14.193
7540_x1	24	9.97
7737_x1	36	57.04
20732_x1	31	25.203
27464_x1	11	128.118
9379_x1	32	15.206
8572_x1	33	48.97
74487_x1	12	30.151
61349_x1	3	1.182
21133_x1	27	28.25
52578_x1	3	14.306
42815_x1	28	46.37
51285_x1	2	93.42
47343_x1	37	23.835
77740_x1	27	30.129
66778_x1	14	0.472
13162_x1	35	38.045
71138_x1	17	21.38
48462_x1	12	0.44
63236_x1	32	83.801
3333_x1	24	71.113
7603_x1	18	91.429
49498_x1	7	129.476
55506_x1	4	78.582
42885_x1	26	62.268
73045_x1	36	53.372
50717_x1	18	63.025
11742_x1	15	4.826
44076_x1	7	139.483
64202_x1	28	4.073
72604_x1	5	102.606
45417_x1	22	4.59
3642_x1	7	77.258
46451_x1	12	70.598
54315_x2	10	111.163
54315_x1	35	89.738
19265_x1	5	45.794
45415_x1	3	140.325
63068_x1	25	38.085
11198_x1	31	0.994
13617_x1	3	0.893
1087_x1	33	64.293
30591_x1	2	76.208
6992_x1	15	8.343
51618_x1	29	23.226
658_x1	21	108.774
46567_x1	10	49.231
29565_x1	21	136.201
3587_x1	34	58.793
56770_x1	33	84.672
56770_x2	12	129.58
63483_x1	13	56.802
2936_x1	20	69.096
18041_x1	10	20.386
26924_x1	19	49.312
46565_x1	2	155.858
55427_x1	32	9.528
55227_x1	13	12.289
21965_x1	1	129.023
960_x1	13	69.187
1570_x1	3	119.645
47255_x1	1	128.547
67786_x1	14	119.254
9577_x1	32	82.444
30436_x1	2	27.266
65391_x1	1	79.33
74888_x1	2	51.45
46928_x1	27	20.027
64355_x1	8	4.055
59562_x1	5	97.312
16288_x1	31	54.138
50327_x1	33	4.513
62726_x1	6	54.633
43306_x1	11	20.536
76883_x1	28	65.027
23385_x1	10	124.944
60036_x1	3	43.487
13358_x1	13	39.866
59309_x1	20	70.23
57622_x1	10	3.077
78057_x1	35	11.45
113_x1	6	148.448
60220_x1	34	42.687
71676_x1	11	11.635
11838_x1	3	144.998
12585_x1	26	10.432
46762_x1	11	39.535
58679_x2	34	70.339
58679_x1	34	68.763
55499_x1	26	5.379
45055_x1	15	28.507
60746_x1	10	44.121
115_x1	22	27.906
53316_x1	3	119.645
12961_x1	4	145.866
Oke_DBLOH-79_x1	17	23.339
71762_x1	8	4.055
46609_x1	9	158.716
9183_x1	1	120.02
68191_x1	22	46.485
68793_x1	6	11.933
57876_x1	23	22.157
7481_x1	13	40.298
54449_x1	1	31.895
59560_x1	9	76.966
32892_x1	23	47.671
22615_x1	11	91.408
42913_x1	6	104.779
6180_x1	9	171.164
1018_x1	9	126.446
64969_x1	35	38.045
60011_x1	3	56.156
2447_x1	18	63.025
50211_x1	32	94.32
77874_x1	2	153.571
64763_x1	12	70.701
33489_x1	34	63.618
30628_x1	31	26.011
4828_x1	3	67.622
79231_x1	35	99.914
12866_x1	13	75.208
60388_x1	13	14.023
65599_x1	17	10.697
74191_x1	10	116.915
60880_x1	8	11.529
1537_x1	6	94.924
78007_x1	25	67.7
70960_x1	1	4.807
45314_x1	1	94.801
60413_x1	20	48.858
7174_x1	8	5.79
58991_x1	23	52.783
7331_x1	18	1.375
55154_x1	25	65.64
9826_x1	29	55.805
76460_x1	17	27.246
60654_x1	33	65.447
52475_x1	25	65.753
59767_x1	21	66.9
48784_x1	28	39.003
17026_x1	9	2.159
2509_x1	1	70.365
71744_x1	3	140.221
57614_x1	17	21.806
65398_x1	13	72.156
60250_x1	8	61.48
61407_x1	5	116.029
56086_x1	11	61.959
12707_x1	5	8.171
40513_x1	18	88.51
70014_x1	3	139.971
19993_x1	12	67.34
55094_x1	23	62.737
42212_x1	15	15.177
6688_x1	4	134.986
6688_x2	9	148.751
72348_x1	33	41.76
45744_x1	21	136.201
54791_x1	12	41.267
66725_x1	21	112.863
56585_x1	27	8.83
62687_x1	17	0.888
65957_x1	21	84.621
55150_x1	7	34.073
57091_x1	23	28.076
10359_x1	11	103.992
3360_x1	28	22.474
75798_x1	28	39.396
50733_x1	12	85.114
68098_x1	27	42.678
18785_x1	2	27.374
74446_x1	34	65.833
78681_x1	12	5.465
51615_x1	4	138.415
44000_x1	5	52.798
19445_x1	25	66.385
50735_x1	11	39.799
57488_x1	1	94.563
49721_x1	22	49.198
1423_x1	25	35.238
Oke_mgll-49_x1	5	60.737
46406_x1	30	61.272
7222_x1	3	56.426
1364_x1	37	74.464
15145_x1	16	10.411
56756_x1	9	7.476
6342_x1	8	83.463
2054_x1	23	28.99
50317_x1	6	39.963
5816_x1	2	74.312
58815_x1	31	7.8
70986_x1	37	63.703
65073_x1	9	9.603
52155_x1	36	48.37
24543_x1	23	61.955
43969_x1	11	128.005
57423_x1	5	99.993
51619_x1	4	1.418
68601_x1	22	29.341
59532_x1	27	0.926
74301_x1	6	0.453
55132_x1	17	3.543
45187_x1	34	4.793
45722_x1	26	29.355
19387_x1	23	70.506
42039_x1	10	67.178
6598_x1	14	84.268
19020_x1	3	68.879
Oke_U2045-43_x1	10	20.386
7909_x1	1	116.641
50689_x1	1	8.486
13860_x1	23	27.833
41478_x1	5	30.408
14473_x1	2	11.656
76138_x1	17	5.214
44896_x1	4	10.395
64267_x1	32	18.048
3451_x1	11	6.324
563_x1	10	116.915
15914_x1	3	22.542
10807_x1	1	74.833
65367_x1	16	5.083
5735_x1	18	12.967
45735_x1	15	6.585
40577_x1	22	0
10905_x1	2	139.673
72673_x1	29	62.38
78370_x1	28	65.606
12528_x1	1	4.923
67401_x1	22	0
59887_x1	25	54.307
25950_x1	5	101.465
53597_x1	28	46.37
4144_x1	30	17.984
42574_x1	30	21.458
8387_x1	18	1.233
25034_x1	1	108.447
49594_x1	24	3.459
52468_x1	31	1.307
51557_x1	4	128.545
63208_x1	33	44.036
69815_x1	22	9.966
63446_x1	29	16.203
40085_x1	4	57.224
7664_x1	7	56.061
64084_x1	12	66.346
9639_x1	23	39.175
52048_x1	3	123.818
17971_x1	10	75.455
59587_x1	25	54.859
48768_x1	15	0.583
42847_x1	22	57.228
5590_x1	10	111.163
26005_x1	10	98.403
61053_x1	35	38.045
70343_x1	12	101.287
49837_x1	25	55.914
2933_x1	15	18.236
58336_x1	20	62.671
45078_x1	7	98.095
64263_x1	14	107.147
19014_x1	4	70.793
56048_x1	19	71.899
12907_x1	24	58.436
46988_x1	36	73.337
27275_x1	2	65.081
40546_x1	3	82.06
60206_x1	22	27.906
58446_x1	28	65.027
75951_x1	19	14.085
11488_x1	16	20.361
47850_x1	19	52.36
66718_x1	16	5.45
37035_x1	18	1.82
2401_x1	31	10.944
76512_x1	32	26.999
46688_x1	4	17.573
41023_x1	11	24.656
56158_x1	35	59.417
49948_x1	20	58.387
