Linkage Group	Ssa Genome Scaffold	Map Start (cM)	Map End (cM)	Scaffold Start (bp)	Scaffold End (bp)	Map Distance (bp)	Scaffold Distance (bp)	bp/cM	Loci Aligned	Orientation	Ssa Chromosomal Assignment
Ots26	jcf1001104791_0-0	64.16	64.16	209229	974403	0	765174	NA	3	NA	NOT FOUND
Ots27	jcf1000140244_0-0	0	16.16	650723	4466447	16.16	3815724	236,121.53	6	+	Ssa06
Ots27	ccf1000000034_0-0	21.28	33.58	201756	4405396	12.3	4203640	341,759.35	12	+	NOT FOUND
Ots27	jcf1000695461_197832-2352387	36.31	39.99	310506	1605624	3.68	1295118	351,934.24	10	-	NOT FOUND
Ots27	jcf1000162745_0-0	36.31	45.83	108035	2605716	9.52	2497681	262,361.45	9	-	Ssa06
Ots27	jcf1000003109_0-779681	54.49	57.12	225285	426449	2.63	201164	76,488.21	3	+	NOT FOUND
Ots27	ccf1000000127_0-0	57.12	58.66	168975	675703	1.54	506728	329,044.16	6	+	NOT FOUND
Ots28	jcf1000150494_0-0	3.94	7.95	1421332	3014508	4.01	1593176	397,300.75	10	+	Ssa03
Ots28	jcf1000198111_422870-6928405	7.65	27.89	143543	6028366	20.24	5884823	290,752.12	11	+	NOT FOUND
Ots28	jcf1000860284_0-0	29.69	44.13	267080	4939640	14.44	4672560	323,584.49	10	-	Ssa03
Ots28	ccf1000002004_0-0	44.77	58.67	686209	8141496	13.9	7455287	536,351.58	18	+	Ssa03
Ots28	ccf1000000024_0-0	59.76	62.9	427837	5542849	3.14	5115012	1,628,984.71	10	-	Ssa03
Ots28	ccf1000000072_0-0	62.67	64.39	229544	1868955	1.72	1639411	953,145.93	4	+	Ssa03
Ots29	jcf1000226296_306452-9487052	8.73	40.04	1385746	9136168	31.31	7750422	247,538.23	15	+	NOT FOUND
Ots29	jcf1001101187_0-3146514	42.28	54.65	742277	2356871	12.37	1614594	130,524.98	4	-	Ssa29
Ots29	jcf1000113213_0-0	51.69	51.69	160341	971461	0	811120	NA	3	NA	Ssa29
Ots30	jcf1000120929_0-0	0	5.64	3788655	8437053	5.64	4648398	824,184.04	13	-	Ssa04
Ots30	jcf1001218650_0-0	10.47	23.01	135030	3564930	12.54	3429900	273,516.75	13	+	Ssa04
Ots30	jcf1000487891_0-0	17.33	20.55	6610	1673179	3.22	1666569	517,568.01	3	+	Ssa11
Ots30	ccf1000000020_0-0	35.12	65.65	77356	6973318	30.53	6895962	225,874.94	24	+	Ssa04
Ots30	jcf1000855435_0-0	50.17	56.55	233105	8623503	6.38	8390398	1,315,109.40	19	-	Ssa04
Ots30	jcf1000000994_0-0	63.33	69.06	203499	2534408	5.73	2330909	406,790.40	7	-	NOT FOUND
Ots30	ccf1000000080_0-0	64.74	69.79	273840	1787508	5.05	1513668	299,736.24	5	-	Ssa04
Ots31	jcf1000364808_0-0	0	6.1	407165	4049610	6.1	3642445	597,122.13	7	-	NOT FOUND
Ots31	jcf1001041726_0-0	6.1	17.42	202585	1310850	11.32	1108265	97,903.27	5	-	NOT FOUND
Ots31	ccf1000000026_0-0	23.7	29.68	2056645	5036832	5.98	2980187	498,359.03	7	-	NOT FOUND
Ots31	jcf1000048534_0-0	34.21	36.08	160581	1050462	1.87	889881	475,872.19	3	-	Ssa14
Ots31	jcf1000731280_0-0	38.28	40.68	621765	988589	2.4	366824	152,843.33	3	-	Ssa14
Ots32	ccf1000000029_0-0	13.94	32.13	852540	4886619	18.19	4034079	221,774.55	5	+	NOT FOUND
Ots32	jcf1001230475_308060-7487661	26.61	45.52	988781	6949148	18.91	5960367	315,196.56	18	-	NOT FOUND
Ots33	jcf1000421634_0-0	0.13	22.46	416311	6329412	22.33	5913101	264,805.24	13	+	Ssa11
Ots33	ccf1000000055_0-0	11.25	11.25	1677449	3176643	0	1499194	NA	4	NA	Ssa11
Ots33	ccf1000000013_0-0	27.45	56.51	29713	8755871	29.06	8726158	300,280.73	17	-	NOT FOUND
Ots33	jcf1000487891_0-0	68.4	70.99	1021614	2096808	2.59	1075194	415,132.82	5	+	Ssa11
Ots33	jcf1000297836_0-0	74.63	74.63	73780	115298	0	41518	NA	4	NA	Ssa11
Ots34	jcf1000749679_0-0	0.33	11.45	1370509	3819012	11.12	2448503	220,189.12	3	+	Ssa04
Ots34	ccf1000000046_0-0	1.03	14.59	1975503	4190534	13.56	2215031	163,350.37	3	-	Ssa08
Ots34	jcf1000668255_0-0	14.59	14.59	468079	1024444	0	556365	NA	4	NA	Ssa08
Ots34	jcf1000229541_0-0	16.71	28.18	223712	2344130	11.47	2120418	184,866.43	7	+	Unassigned
Ots34	jcf1000113678_0-2351175	34.68	34.68	464204	1334698	0	870494	NA	3	NA	Ssa08
Ots34	jcf1000466890_0-0	34.68	37.73	379448	2262488	3.05	1883040	617,390.16	6	+	Ssa04
Ots34	ccf1000002034_0-0	52.83	53.42	1162722	1710747	0.59	548025	928,855.93	4	-	Unassigned
Ots34	jcf1000722613_0-0	53.01	61.76	722606	1730413	8.75	1007807	115,177.94	3	+	Unassigned
