population_type DH
population_name CMUW10X_0001
distance_function kosambi
cut_off_p_value .0001
no_map_dist 15.0
no_map_size 2
missing_threshold .25
estimation_before_clustering yes
detect_bad_data yes
objective_function ML
number_of_loci 5052
number_of_individual 34

locus_name	CMUW10X01H_0009	CMUW10X01H_0011	CMUW10X01H_0012	CMUW10X01H_0013	CMUW10X01H_0016	CMUW10X01H_0019	CMUW10X01H_0020	CMUW10X01H_0021	CMUW10X01H_0023	CMUW10X01H_0024	CMUW10X01H_0030	CMUW10X01H_0031	CMUW10X01H_0035	CMUW10X01H_0044	CMUW10X01H_0047	CMUW10X01H_0058	CMUW10X01H_0062	CMUW10X01H_0063	CMUW10X01H_0064	CMUW10X01H_0067	CMUW10X01H_0068	CMUW10X01H_0069	CMUW10X01H_0072	CMUW10X01H_0073	CMUW10X01H_0074	CMUW10X01H_0077	CMUW10X01H_0079	CMUW10X01H_0080	CMUW10X01H_0083	CMUW10X01H_0085	CMUW10X01H_0086	CMUW10X01H_0087	CMUW10X01H_0093	CMUW10X01H_0095	
32578_x1	a	a	a	b	b	a	a	b	a	a	b	a	a	-	b	b	a	b	a	a	a	a	b	-	a	a	-	a	b	b	a	a	-	-	
61395_x1	b	b	a	b	a	b	b	a	a	a	a	b	a	b	a	b	b	a	a	a	b	a	a	a	b	a	a	b	a	a	a	-	b	b	
76028_x1	-	a	a	b	b	a	-	a	a	a	b	a	b	a	a	a	a	b	b	a	a	a	a	a	b	b	a	a	b	a	b	a	a	a	
25421_x1	-	b	a	a	a	a	a	b	b	a	a	b	b	b	a	a	b	a	b	a	b	a	a	b	-	b	b	b	b	a	b	a	a	b	
50586_x1	b	b	a	b	b	b	a	b	-	a	b	b	a	a	b	b	a	a	a	a	b	a	-	a	a	a	a	a	a	b	a	b	a	b	
53889_x1	b	a	b	b	b	a	-	a	b	a	a	b	a	b	a	b	b	a	b	-	b	-	b	a	a	a	a	a	a	b	b	b	a	b	
24359_x1	a	a	b	b	a	b	b	a	b	b	b	b	b	a	b	a	b	a	a	a	-	-	a	-	a	a	b	b	a	a	b	b	b	a	
41934_x1	b	a	a	b	b	b	a	b	b	a	a	b	a	b	a	a	b	a	a	a	b	a	b	a	b	a	a	b	b	b	a	b	a	b	
26592_x1	a	a	b	b	-	b	-	b	b	a	b	a	a	-	a	b	b	a	a	a	b	a	a	a	a	a	b	b	b	b	b	a	b	b	
66102_x1	a	a	b	b	b	-	a	b	a	a	b	b	b	b	a	-	b	b	a	b	b	b	b	a	b	b	a	a	a	b	a	a	b	b	
2933_x1	b	b	a	a	a	b	a	-	b	a	b	-	a	a	a	b	b	b	b	a	-	a	b	-	a	b	b	b	a	b	a	b	-	b	
77529_x1	a	a	b	-	b	a	a	-	a	a	b	b	b	-	a	a	b	a	a	b	b	b	b	a	b	b	a	a	a	b	a	a	b	b	
12104_x1	b	b	b	a	b	a	b	a	a	b	a	b	b	b	b	a	b	a	a	a	a	a	-	-	b	a	a	a	b	a	b	b	b	a	
11912_x1	-	b	a	b	a	a	b	a	a	a	a	a	b	-	a	a	a	a	b	b	b	b	-	a	b	a	b	a	b	a	a	a	-	b	
11190_x1	b	b	b	b	a	b	-	-	b	a	b	b	b	a	a	-	b	-	b	b	a	-	a	a	a	b	a	a	a	a	a	b	-	a	
76475_x1	a	b	a	a	a	a	a	a	b	b	b	a	a	b	b	b	b	a	a	a	b	a	b	a	-	a	b	a	b	a	b	a	a	b	
Oke_FANK1-166_x1	b	b	a	b	a	b	b	a	a	a	a	b	a	b	a	b	b	a	a	a	b	b	a	a	a	a	a	b	a	b	a	b	b	-	
70093_x1	a	a	b	a	b	b	-	b	b	b	a	b	a	b	-	b	b	b	b	b	-	a	b	b	b	a	b	b	a	a	b	b	a	b	
22150_x1	b	b	b	b	b	a	b	b	b	b	a	a	b	b	a	-	b	b	a	a	-	-	-	a	-	b	b	b	b	b	b	b	a	b	
60565_x1	b	a	b	b	a	b	a	b	a	a	a	a	a	-	b	b	b	-	b	a	b	b	a	-	a	b	b	a	b	a	a	a	b	a	
14868_x1	b	-	a	b	a	b	a	a	b	b	a	-	a	a	b	a	-	a	b	b	a	a	a	b	a	b	a	b	a	b	a	a	b	b	
43462_x1	-	b	b	a	b	a	b	-	a	a	b	-	b	b	a	b	b	b	a	b	a	b	b	a	b	a	b	a	b	a	b	b	a	a	
19393_x1	b	a	b	a	a	b	-	b	b	b	a	a	b	a	b	b	a	-	a	a	b	b	b	b	a	a	b	a	b	b	b	a	b	a	
74644_x1	b	b	b	a	a	b	b	-	b	b	a	b	-	b	a	a	b	a	b	b	b	b	a	a	b	b	a	b	a	a	b	b	a	b	
53798_x1	-	a	a	a	a	b	-	b	a	a	a	a	b	a	b	a	-	a	a	a	-	a	-	a	-	a	b	a	b	b	a	b	b	b	
16911_x2	a	a	b	a	b	b	-	a	b	b	b	a	a	-	a	a	b	a	a	b	b	a	a	a	a	a	a	b	a	a	b	a	a	a	
16656_x1	a	b	a	a	b	a	b	a	b	b	b	-	b	b	-	-	a	b	a	b	-	a	-	-	-	a	a	b	a	b	b	b	a	b	
67235_x1	-	b	b	b	a	b	-	a	a	a	a	-	a	b	a	a	b	b	-	a	b	b	-	-	b	a	b	b	b	a	a	a	-	b	
60000_x1	a	a	b	b	a	b	b	b	b	a	b	-	a	a	a	a	b	-	a	a	b	a	a	a	a	a	b	b	b	b	b	a	-	b	
32576_x1	a	b	a	a	b	a	b	a	b	a	-	-	a	a	-	b	b	a	b	-	-	a	-	-	b	b	a	a	a	a	a	b	a	b	
14796_x1	b	b	a	a	a	b	a	-	b	a	b	-	a	-	a	b	b	b	b	a	a	-	b	b	a	b	a	b	a	b	a	b	a	b	
1334_x1	b	b	a	b	a	a	b	-	a	a	b	a	b	a	b	a	a	a	a	a	b	b	a	-	a	b	a	a	b	b	a	a	b	a	
62847_x1	b	a	a	a	b	a	-	b	-	a	a	b	-	a	b	a	-	-	b	a	b	a	b	-	a	b	a	b	a	b	-	a	b	a	
67729_x1	b	a	a	b	a	a	-	a	a	a	b	-	a	a	b	-	b	a	b	a	a	a	a	b	a	a	a	a	a	b	b	a	a	a	
58585_x1	b	b	a	b	a	b	a	a	b	b	b	a	-	a	a	b	a	b	b	a	b	-	b	-	b	b	a	b	b	a	b	a	a	b	
71325_x1	a	b	b	b	a	a	a	a	b	a	a	b	a	a	a	b	b	b	a	b	b	-	a	b	b	a	a	a	a	a	a	a	a	b	
34767_x1	-	a	b	a	a	b	-	-	b	b	a	-	a	a	b	b	-	b	a	b	b	b	-	a	b	b	b	a	b	b	a	b	a	b	
77223_x1	-	b	a	a	a	a	b	b	b	-	-	-	-	a	a	a	a	b	a	-	b	-	a	a	b	b	a	b	b	b	a	a	a	-	
69938_x1	a	a	a	a	b	a	a	a	b	a	b	a	b	a	b	b	a	a	a	b	a	a	b	a	a	b	a	b	a	b	b	b	a	a	
3083_x1	-	a	a	b	-	-	a	b	-	b	b	b	b	a	b	a	b	-	a	-	b	-	b	b	b	a	a	b	b	a	-	a	a	a	
67837_x1	a	a	-	-	a	a	b	b	a	a	b	b	b	-	b	b	b	b	a	-	a	-	-	a	a	a	b	a	a	a	-	b	b	a	
69531_x1	a	b	-	b	a	b	a	a	b	a	a	a	a	a	a	a	a	a	b	a	b	b	b	a	a	b	b	b	a	b	b	b	a	a	
74400_x1	a	a	-	a	b	b	a	-	a	b	a	-	a	a	a	b	b	b	b	b	b	a	-	-	b	a	a	a	a	b	a	a	-	a	
59664_x1	-	a	a	a	b	a	b	b	a	b	b	b	a	b	a	b	a	b	a	b	-	a	-	-	b	b	a	a	b	a	b	a	b	b	
6328_x1	b	b	a	b	a	b	b	-	a	a	a	b	a	b	a	b	b	a	a	a	b	b	-	a	b	a	a	b	a	a	a	b	b	b	
73025_x1	b	a	-	b	b	b	b	a	a	-	b	a	-	-	b	b	a	b	-	b	a	b	b	a	b	-	a	a	a	b	a	b	-	a	
54277_x1	b	b	-	a	a	-	b	a	b	b	a	b	b	b	a	a	b	a	b	b	b	b	a	a	b	b	a	b	a	a	b	b	a	b	
81803_x1	b	b	a	a	a	a	b	a	b	b	a	a	b	-	a	b	b	b	b	b	a	b	-	b	b	a	b	a	a	-	a	b	b	a	
34374_x1	a	a	a	a	b	a	b	b	a	b	-	a	b	a	-	b	a	a	b	a	-	-	-	-	a	-	b	b	a	a	a	-	a	b	
13645_x1	b	b	-	b	a	a	-	b	a	a	a	a	-	a	a	b	a	a	a	b	a	a	a	a	a	a	b	a	b	a	b	a	a	b	
29323_x1	b	b	b	b	a	a	a	b	b	b	a	-	a	b	a	b	b	a	-	a	b	-	b	-	-	b	a	a	b	-	b	b	-	a	
44153_x1	a	a	-	b	b	a	b	b	a	-	a	b	b	-	b	a	b	a	a	b	-	a	a	a	a	a	b	a	a	-	a	b	-	a	
41782_x1	b	a	a	a	a	b	a	b	b	a	b	-	a	a	a	-	b	b	b	a	a	a	b	a	a	b	a	b	a	b	a	b	-	b	
27861_x1	-	b	a	a	b	a	-	b	a	a	b	-	a	b	a	-	a	b	b	a	a	b	a	a	b	b	a	b	b	a	b	a	b	b	
72911_x1	a	-	-	b	a	b	a	a	a	b	a	b	a	b	b	a	-	a	b	-	-	a	a	b	a	b	a	b	a	b	b	b	a	a	
61930_x1	a	a	a	a	a	b	-	b	a	a	a	a	b	-	b	b	b	b	a	a	a	a	-	b	b	a	a	b	b	a	a	a	a	a	
53292_x1	b	a	-	b	b	b	-	b	-	b	b	a	a	a	-	b	a	b	a	b	b	a	b	a	b	a	a	a	b	b	a	b	b	b	
4191_x1	a	-	a	a	b	b	-	a	b	b	b	a	a	b	-	a	a	a	a	a	a	b	a	b	a	a	b	b	b	a	a	b	a	b	
30727_x1	b	a	-	b	b	b	a	a	a	b	a	-	b	b	b	b	b	b	b	b	a	-	b	-	-	a	b	a	a	a	b	b	b	b	
19671_x1	b	a	b	a	a	b	-	b	b	b	b	b	b	a	b	a	a	a	a	a	-	a	b	a	a	b	b	b	b	a	a	b	-	b	
18822_x1	a	b	b	b	a	b	b	a	a	b	a	a	a	a	-	b	b	b	a	b	b	b	a	-	b	a	b	b	b	b	b	a	a	b	
57948_x1	b	b	b	a	b	a	b	b	b	a	b	b	b	a	-	b	b	a	a	a	a	-	b	a	b	b	b	a	b	a	a	a	b	a	
76207_x1	a	a	a	a	a	-	b	a	b	a	-	-	a	a	b	b	a	-	b	b	b	-	-	b	b	a	b	a	a	a	a	-	a	a	
19176_x1	-	b	-	b	a	b	b	a	a	b	b	a	a	b	a	-	b	b	a	b	a	b	a	a	-	a	b	a	b	b	a	b	a	b	
36665_x1	b	a	b	-	-	b	-	a	-	b	a	a	b	-	b	b	b	a	b	a	-	b	b	b	a	a	a	a	a	b	b	b	b	b	
46232_x1	a	a	a	-	b	b	b	b	a	a	a	-	b	a	a	a	a	b	b	b	a	-	a	-	b	b	b	b	b	b	b	b	b	a	
70191_x1	-	b	a	a	b	a	-	a	b	b	b	b	-	b	a	a	a	b	a	b	a	-	-	a	b	a	a	b	a	-	b	b	a	b	
7340_x1	-	a	b	a	b	b	-	-	b	b	a	b	a	-	a	b	b	b	a	b	b	a	b	-	-	a	b	b	b	a	-	b	b	b	
42263_x1	-	a	a	a	b	a	-	b	b	b	b	b	b	b	b	a	a	a	b	a	a	a	-	a	a	b	a	a	a	a	a	b	b	a	
2882_x1	b	a	b	b	b	b	b	a	a	-	b	-	a	-	b	b	a	b	a	b	a	b	b	-	b	a	a	a	a	b	a	b	b	a	
26668_x1	-	a	a	b	b	b	b	b	a	-	-	-	a	-	a	b	a	b	b	b	a	b	b	b	a	a	a	a	b	-	-	-	b	a	
51444_x1	-	a	b	a	-	a	-	b	a	a	b	-	b	a	b	b	b	b	a	a	a	b	b	-	a	a	b	a	a	a	a	b	b	a	
43952_x1	a	a	a	b	b	a	a	b	a	a	b	a	b	b	b	b	a	b	-	b	a	-	b	b	b	b	a	a	a	a	a	a	a	a	
32365_x1	b	b	a	b	a	-	b	a	a	a	a	a	a	b	a	b	b	a	a	a	a	b	a	a	b	a	a	b	a	a	a	b	b	b	
74170_x1	-	a	a	b	a	b	a	a	b	b	a	b	a	-	b	-	-	a	b	b	b	a	a	b	a	b	a	b	a	b	-	a	b	b	
54758_x1	b	b	a	a	b	b	b	a	b	b	b	-	-	b	b	b	a	a	a	a	b	a	b	-	a	b	a	a	b	a	a	b	-	a	
12174_x1	b	a	b	a	a	a	a	a	b	b	a	b	a	-	-	a	a	b	b	-	b	b	b	-	b	-	b	b	b	b	a	a	-	b	
50458_x1	a	b	b	a	a	b	a	b	b	a	b	b	a	b	a	a	b	a	b	b	a	a	b	-	b	b	b	b	b	a	b	a	b	a	
49358_x1	b	b	a	b	a	b	b	b	a	b	a	a	b	a	a	a	a	a	a	b	b	a	a	a	a	a	a	b	b	b	-	b	b	b	
57890_x1	b	a	a	a	a	b	a	b	a	a	a	a	-	a	b	a	b	a	a	-	b	a	a	a	a	a	a	a	b	b	a	b	b	b	
5616_x1	b	a	b	a	b	b	b	b	a	b	a	a	b	a	b	b	a	b	a	a	b	b	a	b	a	a	b	a	b	b	a	b	a	b	
64405_x1	a	a	b	a	b	b	b	a	a	a	b	a	b	-	b	a	b	b	b	b	-	a	a	-	b	a	b	b	a	b	a	a	a	b	
17478_x1	b	a	a	b	b	a	-	a	a	b	-	a	a	-	b	b	a	b	a	a	b	b	-	-	-	a	a	a	a	b	a	b	a	b	
33213_x1	-	a	b	a	b	b	-	b	b	b	-	a	-	b	a	a	b	a	a	-	b	a	a	a	-	a	a	b	a	a	b	a	a	a	
63102_x1	a	a	b	a	b	b	b	a	a	a	b	a	b	-	b	a	b	-	b	a	-	-	a	a	a	a	b	b	a	b	-	a	a	b	
65866_x1	b	b	b	b	a	b	-	b	a	b	a	b	a	b	a	a	b	b	b	a	-	-	a	b	b	a	b	a	b	a	a	a	b	b	
51574_x1	b	b	a	b	b	b	-	a	b	a	a	a	-	b	a	a	b	b	b	a	b	a	a	b	a	b	a	a	b	b	b	b	b	b	
5152_x1	a	a	a	a	b	b	-	a	-	a	b	a	-	-	-	a	a	b	b	b	a	a	a	-	b	a	b	b	a	b	b	a	a	b	
52938_x1	a	b	b	a	a	a	b	a	b	a	-	a	b	a	b	b	a	a	b	b	a	a	a	b	a	b	b	a	a	a	b	a	b	a	
21516_x1	a	b	b	b	a	b	a	a	b	a	a	a	b	a	b	-	b	-	b	a	b	-	-	a	a	-	b	b	a	-	a	b	-	a	
21736_x1	a	b	b	a	b	b	a	b	b	-	a	-	b	b	a	b	a	b	a	b	b	-	b	a	b	b	b	b	b	a	a	-	b	b	
25617_x1	b	b	a	b	b	b	a	-	b	b	-	a	a	b	a	a	a	b	b	b	b	-	a	b	b	b	a	b	b	b	a	a	a	b	
74507_x1	a	a	b	b	a	b	-	a	a	a	b	a	a	b	a	b	b	a	b	b	b	a	-	a	a	a	b	b	a	b	a	b	b	b	
44706_x1	a	b	b	b	b	b	a	a	b	a	a	a	a	a	b	a	a	a	a	b	a	-	a	b	a	a	a	b	a	a	a	b	b	a	
10314_x1	b	a	b	b	b	b	a	a	a	b	a	a	b	-	-	b	b	-	b	b	-	b	-	-	a	a	b	a	b	a	b	a	a	b	
44834_x1	b	b	b	a	b	a	b	b	b	a	b	a	b	a	a	b	b	b	a	a	a	b	-	a	b	a	b	a	b	a	a	a	b	b	
67369_x1	b	b	b	b	a	b	b	b	a	b	-	b	a	b	a	a	b	-	b	a	b	b	a	b	b	a	b	a	b	a	a	a	b	b	
23037_x1	b	a	a	a	a	a	a	a	a	b	b	b	b	b	a	b	b	b	b	a	a	a	b	a	b	b	b	a	b	b	b	a	a	b	
22094_x1	a	b	-	a	a	a	b	b	b	a	b	b	a	b	a	a	a	a	-	a	b	-	-	a	b	b	a	b	a	b	a	b	b	a	
78823_x1	b	a	a	b	a	-	-	a	b	b	a	b	a	a	b	-	a	a	b	b	-	a	-	b	a	b	a	b	a	b	a	a	b	b	
5484_x1	b	b	b	a	b	a	a	a	b	-	-	-	a	a	b	a	a	b	b	-	b	b	b	-	b	b	b	b	b	b	a	a	a	b	
25694_x1	b	-	b	b	b	b	-	a	b	b	a	-	b	b	a	b	-	-	b	a	a	-	b	b	a	a	a	a	a	b	b	b	b	b	
12205_x1	b	b	a	a	b	a	a	-	a	a	a	a	a	b	a	b	a	b	b	-	b	b	-	-	-	-	a	a	b	b	a	a	-	b	
6235_x1	a	a	a	a	a	b	a	a	b	a	a	b	a	a	a	a	a	b	b	a	b	a	a	a	a	b	a	b	b	a	b	a	-	b	
44832_x1	a	a	a	a	b	a	b	a	a	a	b	b	b	a	b	a	b	b	a	a	-	b	b	-	b	b	a	b	b	a	b	a	a	a	
42975_x1	a	-	b	b	b	a	b	b	a	b	b	-	b	b	b	-	b	a	a	b	a	b	b	b	b	b	b	a	a	b	a	b	-	a	
30372_x1	b	a	b	b	a	b	a	b	b	b	b	b	a	-	b	-	a	b	a	b	-	-	b	b	-	b	b	a	b	a	a	a	b	a	
41300_x1	-	b	b	b	a	b	-	a	b	b	-	a	a	b	-	b	b	b	a	b	a	b	a	-	b	a	b	a	b	b	-	b	a	b	
72796_x1	-	a	b	a	b	a	a	a	b	b	b	-	a	a	b	a	a	b	b	b	b	b	b	-	b	b	b	b	b	b	a	a	a	b	
64984_x1	b	b	b	a	a	b	b	a	b	b	a	b	b	b	a	-	b	a	b	b	b	b	a	a	b	b	a	b	a	a	b	b	a	b	
79276_x1	a	a	b	a	a	a	b	a	b	b	a	a	b	b	a	a	b	b	b	b	-	b	b	b	-	b	b	b	b	a	b	a	b	a	
59819_x1	b	b	a	b	b	b	a	a	b	b	a	a	a	b	a	a	a	b	b	b	b	b	a	b	b	b	a	b	b	b	-	a	a	b	
59824_x1	-	a	a	b	b	-	a	a	b	a	a	a	b	b	a	-	a	b	-	b	-	a	-	a	a	-	a	a	b	b	b	b	-	a	
47377_x1	b	b	b	b	a	b	b	a	b	a	a	b	b	b	b	a	b	a	a	b	b	a	a	-	b	a	a	a	b	b	b	b	b	a	
63053_x1	-	b	a	a	a	b	a	-	b	a	b	a	a	a	a	b	b	-	b	a	-	-	b	b	a	b	b	a	a	-	a	b	a	b	
28678_x1	a	b	a	a	a	a	a	-	b	a	a	b	b	-	a	-	b	a	b	-	b	a	a	-	a	b	b	b	b	a	b	a	-	b	
44272_x1	-	b	a	a	a	b	a	b	b	a	-	-	a	a	-	b	-	b	b	a	a	a	b	b	a	b	b	b	a	b	a	b	a	b	
63691_x1	a	a	a	a	b	a	a	a	a	b	a	a	a	-	a	b	a	a	a	a	b	a	b	b	b	a	b	b	b	a	b	a	b	b	
54854_x1	b	a	a	a	a	b	a	a	a	a	b	a	a	a	a	b	b	b	a	a	-	b	b	-	a	a	a	b	a	-	-	a	b	b	
5026_x1	b	b	-	a	a	b	b	-	b	a	b	-	a	b	-	a	b	b	b	b	-	b	-	a	a	b	b	b	a	a	b	a	-	b	
77046_x1	a	b	b	b	a	b	b	a	a	b	b	-	a	b	a	-	b	b	a	b	-	b	a	-	b	a	b	a	b	b	a	b	a	b	
4183_x1	b	b	a	a	b	a	a	a	a	a	a	a	b	b	a	a	b	b	b	b	a	b	b	a	a	b	b	a	a	a	b	a	b	a	
48467_x1	b	a	-	b	a	b	a	a	a	a	a	a	a	a	a	b	b	-	a	a	b	a	a	b	a	a	b	b	a	b	a	a	b	b	
49639_x1	a	a	b	b	b	a	-	b	a	a	a	b	b	-	-	a	b	a	a	-	a	a	a	b	a	a	b	a	a	b	a	b	b	a	
55912_x1	b	b	a	b	a	a	b	a	a	a	b	-	b	a	b	a	a	a	b	a	-	b	a	-	a	b	a	a	a	b	a	a	a	a	
77040_x1	a	b	a	a	b	a	-	b	b	-	-	b	b	a	b	a	a	b	a	b	-	b	b	-	b	b	a	a	b	a	b	a	a	a	
16812_x1	a	b	b	b	a	b	a	a	b	a	a	a	b	a	a	a	b	a	-	a	b	b	b	a	a	b	b	b	a	-	b	b	a	a	
16812_x2	a	a	b	a	a	a	a	a	b	b	a	a	b	b	a	a	b	b	-	b	a	b	b	b	b	b	b	b	b	-	b	a	a	a	
38539_x1	a	b	b	b	a	a	a	a	b	a	a	b	a	b	a	-	b	b	a	b	b	b	a	b	-	a	a	a	a	a	a	a	b	b	
19522_x1	b	a	-	b	b	a	a	b	a	b	b	a	-	b	b	a	b	b	b	a	-	a	-	b	-	b	a	a	a	b	a	b	b	a	
70257_x1	a	a	a	b	b	b	b	-	a	a	a	b	a	-	a	a	a	b	b	b	a	b	a	-	b	b	b	b	b	b	b	b	b	a	
86613_x1	b	a	a	a	a	-	b	a	-	a	-	a	-	b	b	b	b	-	b	b	-	-	a	a	b	b	a	b	a	a	b	b	a	a	
62030_x1	-	b	b	a	b	a	a	-	b	b	a	b	b	a	a	b	b	b	a	b	b	a	b	b	a	a	b	b	b	a	a	-	a	a	
63670_x1	-	a	b	b	a	a	a	b	b	b	a	b	a	-	b	b	a	b	a	b	b	a	-	-	a	a	a	b	b	b	b	b	a	a	
41232_x1	b	a	-	b	b	a	b	-	a	b	a	-	a	a	b	-	a	b	a	a	b	b	a	b	a	a	a	a	a	b	a	b	a	b	
11577_x1	a	a	b	a	a	a	a	b	a	b	b	b	a	a	-	-	a	a	a	b	a	b	-	a	b	a	b	b	a	a	a	a	a	a	
68302_x1	b	b	a	a	b	a	a	a	a	b	a	b	b	b	b	a	a	b	b	b	a	b	b	b	b	b	a	a	a	a	a	b	a	a	
45259_x1	b	b	b	b	a	b	-	b	b	a	b	b	b	a	b	a	b	b	b	b	a	b	a	a	a	b	a	a	a	b	a	b	-	a	
28988_x1	-	b	b	a	a	b	b	a	b	a	a	-	b	b	b	a	-	a	-	a	b	b	b	b	a	a	b	b	b	b	-	a	b	a	
79057_x1	a	-	a	a	-	a	-	b	a	a	-	a	a	b	a	b	a	b	b	b	a	-	-	-	-	b	a	b	b	a	b	a	b	b	
66869_x1	a	b	b	b	a	b	a	a	b	a	a	a	-	a	a	a	b	a	b	a	b	-	b	-	a	b	b	b	a	b	-	b	a	a	
71070_x1	b	b	b	a	a	a	a	a	b	b	a	-	b	b	b	a	b	a	a	a	a	a	a	-	b	b	a	b	a	a	b	a	a	b	
54295_x1	a	a	a	a	b	-	b	a	a	a	b	a	b	a	b	a	a	b	b	b	-	a	a	-	b	a	b	b	a	b	b	-	a	-	
56582_x1	b	a	a	a	a	b	a	b	a	a	-	a	b	a	-	a	b	a	-	a	-	-	a	-	-	a	b	a	b	b	a	b	b	b	
76835_x1	-	a	b	a	b	-	a	a	b	b	a	b	a	b	a	-	a	a	a	b	b	a	a	-	b	a	b	b	a	b	a	b	b	a	
54055_x1	a	a	a	b	b	a	b	b	a	b	a	a	b	b	a	-	a	a	b	a	-	-	-	a	b	b	b	b	b	a	a	a	a	b	
35367_x1	a	b	b	a	a	b	a	b	b	a	-	a	b	-	a	-	b	a	b	-	a	a	-	a	b	b	b	b	b	a	b	a	b	a	
62330_x1	-	a	a	a	b	a	-	-	b	a	a	-	a	b	a	a	b	b	a	a	-	a	b	-	b	b	a	a	a	b	a	b	b	a	
77778_x1	-	b	b	b	a	b	b	b	a	b	a	-	-	b	a	a	b	b	b	a	b	-	a	b	b	a	b	a	b	a	a	a	b	b	
43354_x1	b	b	b	b	a	b	-	a	b	a	-	b	a	b	b	-	b	b	a	b	b	a	a	-	b	a	a	a	b	b	b	b	b	a	
71305_x1	a	a	b	b	b	b	a	a	a	b	a	-	b	b	b	b	b	-	b	b	a	-	b	b	a	a	b	a	a	a	b	b	b	b	
73088_x1	b	a	a	a	b	a	a	b	a	b	-	b	a	a	a	-	a	a	a	a	a	-	b	a	-	a	b	b	a	b	a	a	a	b	
16828_x1	b	a	a	b	b	a	a	-	a	b	-	a	b	-	b	a	b	b	b	a	b	a	a	b	a	b	a	a	a	b	a	b	-	a	
18462_x1	a	b	b	a	b	b	-	a	b	a	a	a	a	a	b	a	a	a	a	a	a	-	a	b	a	a	a	b	a	a	a	b	b	a	
6532_x1	a	a	b	a	a	a	-	a	b	b	a	a	-	a	a	a	b	b	b	b	a	b	b	b	b	b	b	b	b	a	-	a	b	a	
68545_x1	a	b	b	a	a	a	b	a	b	a	a	a	-	a	-	b	a	b	b	-	a	a	a	b	a	b	b	a	a	a	b	a	b	a	
64547_x1	b	a	b	b	a	b	-	b	b	b	-	-	b	-	b	a	b	a	-	-	b	-	a	a	b	b	a	b	a	b	-	a	a	b	
68545_x2	b	b	a	b	a	a	a	a	a	a	a	b	-	a	-	b	a	b	b	-	a	b	b	b	b	b	b	a	b	b	a	b	b	b	
6757_x1	a	a	a	a	b	a	-	b	b	b	b	a	b	b	b	a	a	b	b	b	a	b	a	-	-	a	a	b	b	a	b	b	a	a	
188_x1	a	a	b	b	a	a	-	-	a	b	a	b	b	a	b	a	b	a	b	a	b	-	b	b	a	a	b	a	a	b	a	b	a	a	
67257_x1	b	b	a	a	-	b	a	a	b	a	a	a	a	a	-	b	a	b	b	a	b	a	a	a	-	b	a	b	b	a	b	a	a	b	
51169_x1	b	a	a	a	b	a	a	b	b	a	b	b	b	a	b	a	a	a	b	-	a	a	b	a	a	b	a	a	a	a	-	a	b	a	
73115_x1	a	b	b	a	b	b	b	b	a	a	a	-	-	a	b	b	b	b	a	a	a	a	-	b	a	b	b	b	b	b	a	b	b	b	
23411_x1	a	a	b	b	b	-	b	b	a	a	-	-	b	-	a	a	a	b	b	b	a	b	a	b	-	-	b	b	b	b	b	b	b	a	
22196_x1	b	b	a	-	a	b	b	a	a	a	a	b	a	-	a	b	b	a	a	-	b	b	-	a	b	a	a	b	a	a	a	b	b	b	
64715_x1	b	a	a	a	a	b	a	a	b	a	a	-	a	a	a	a	a	b	b	a	-	a	a	a	a	a	a	b	b	a	-	a	a	b	
72926_x1	-	-	b	b	b	b	b	b	a	a	a	-	b	a	a	a	a	b	b	b	a	b	-	b	b	-	b	b	b	b	b	b	b	a	
10537_x1	a	b	b	a	a	a	a	a	b	b	a	a	b	b	-	b	a	a	-	a	-	-	b	-	a	a	b	b	a	b	a	-	-	b	
32471_x1	a	b	a	a	b	a	b	b	b	a	a	b	b	b	b	b	b	a	a	a	-	a	b	a	b	b	a	a	a	a	-	b	-	b	
51468_x1	b	a	a	a	a	b	-	a	b	a	b	a	b	-	b	-	b	-	b	b	a	a	-	-	a	b	a	b	a	b	-	b	a	b	
72296_x1	a	b	b	a	b	a	a	a	b	b	a	b	b	a	a	b	b	b	a	-	b	a	-	b	a	a	b	b	b	a	a	a	a	a	
3321_x1	-	b	a	a	b	b	b	a	-	-	b	a	b	a	a	a	b	a	b	a	b	b	a	-	b	-	a	a	a	a	a	a	b	b	
40843_x1	b	a	a	a	a	a	a	a	a	b	-	-	b	-	a	-	b	b	b	a	b	a	a	a	-	b	b	a	b	-	-	a	a	b	
56213_x1	b	-	b	a	a	-	b	a	-	b	-	-	b	b	a	a	b	a	b	b	b	b	a	a	b	b	a	b	a	a	b	b	a	b	
18157_x1	a	a	a	a	b	-	b	a	b	a	-	a	a	b	a	a	b	b	a	b	b	a	b	a	b	b	a	a	a	b	a	b	-	a	
29606_x1	b	b	b	b	a	b	-	a	b	b	a	b	a	a	a	b	b	a	b	a	b	a	a	-	-	a	b	b	b	b	b	b	b	b	
6952_x1	a	a	a	a	b	a	a	a	a	b	a	a	a	b	a	b	a	a	a	a	b	a	b	-	b	a	b	b	b	a	b	a	b	b	
49374_x1	a	b	b	b	b	a	-	b	b	b	a	b	b	-	a	a	a	a	-	b	b	a	a	a	a	b	b	a	b	b	b	b	a	a	
71622_x1	a	b	-	a	b	a	a	a	b	b	a	b	-	a	a	b	b	b	a	b	-	a	b	b	a	a	b	-	b	a	a	a	-	a	
