population_type DH
population_name CMUW10X_0009
distance_function kosambi
cut_off_p_value .0001
no_map_dist 15.0
no_map_size 2
missing_threshold .25
estimation_before_clustering yes
detect_bad_data yes
objective_function ML
number_of_loci 5774
number_of_individual 31

locus_name	CMUW10X09H_0009	CMUW10X09H_0014	CMUW10X09H_0021	CMUW10X09H_0023	CMUW10X09H_0028	CMUW10X09H_0030	CMUW10X09H_0031	CMUW10X09H_0034	CMUW10X09H_0035	CMUW10X09H_0036	CMUW10X09H_0037	CMUW10X09H_0038	CMUW10X09H_0039	CMUW10X09H_0043	CMUW10X09H_0044	CMUW10X09H_0045	CMUW10X09H_0049	CMUW10X09H_0058	CMUW10X09H_0059	CMUW10X09H_0060	CMUW10X09H_0062	CMUW10X09H_0067	CMUW10X09H_0068	CMUW10X09H_0069	CMUW10X09H_0073	CMUW10X09H_0076	CMUW10X09H_0077	CMUW10X09H_0081	CMUW10X09H_0083	CMUW10X09H_0084	CMUW10X09H_0093	
44583_x1	a	b	b	b	b	b	-	a	a	a	b	b	b	a	b	a	a	b	a	b	-	a	a	b	b	b	b	b	b	b	a	
51498_x1	b	a	a	a	b	a	a	b	a	a	a	a	a	a	b	-	a	b	b	b	a	b	a	a	a	a	-	a	b	b	b	
29006_x1	b	b	a	a	a	b	a	b	b	b	-	b	b	b	b	a	b	a	a	b	-	b	a	b	a	a	b	b	b	a	a	
61877_x1	a	-	b	b	a	b	-	a	b	b	-	a	a	b	a	b	b	b	b	b	b	a	a	a	b	a	-	b	a	b	b	
25391_x1	a	a	b	a	b	b	b	b	b	a	b	-	a	a	a	b	b	b	a	b	b	a	a	b	a	a	a	a	b	b	a	
30488_x1	b	a	a	a	b	b	-	a	a	b	a	-	b	-	b	a	a	b	b	a	-	a	-	b	a	b	-	a	b	a	b	
61225_x1	-	b	-	-	b	a	a	b	b	-	b	b	-	b	b	b	b	b	b	a	b	a	b	a	b	b	b	a	a	b	a	
56444_x1	a	a	b	a	-	b	a	a	a	a	b	-	a	b	a	-	b	a	a	b	b	b	a	b	b	a	-	a	a	b	a	
60408_x1	a	a	b	b	b	a	b	b	b	b	b	a	-	a	a	b	a	a	a	a	a	b	a	a	a	a	a	a	a	b	b	
29556_x1	b	a	a	b	a	a	-	a	-	a	-	a	a	a	b	b	b	b	a	-	b	b	-	b	a	b	b	a	b	b	b	
61234_x1	b	b	b	b	a	a	-	-	a	a	-	b	b	b	b	-	a	b	b	a	b	a	-	b	b	b	b	a	b	b	b	
877_x1	a	b	b	a	b	b	-	b	a	b	a	-	b	b	a	a	b	b	b	b	-	a	b	b	a	a	a	b	a	b	a	
68936_x1	b	a	a	a	b	a	a	a	a	-	a	a	b	b	a	-	b	a	a	a	a	a	a	b	b	a	-	a	a	b	b	
32381_x1	a	a	a	b	a	a	b	-	a	a	-	a	b	b	a	a	b	a	a	b	b	b	a	b	a	b	a	a	b	a	b	
69955_x1	a	b	b	b	a	a	b	-	-	b	b	b	b	a	-	b	a	a	a	-	b	b	a	-	b	a	-	b	a	b	a	
7716_x1	a	a	b	b	b	b	a	b	b	-	b	-	a	-	-	a	a	a	-	a	-	a	b	b	b	a	b	a	b	b	b	
10652_x1	b	a	a	a	b	a	a	b	-	a	b	b	b	a	b	a	a	a	a	a	a	b	b	b	a	b	b	a	b	a	a	
53679_x1	-	a	b	b	a	b	a	a	a	-	-	a	a	a	a	-	b	b	a	a	a	a	-	a	a	b	-	b	a	b	a	
73362_x1	b	b	a	b	a	-	a	-	-	-	a	a	b	b	b	a	a	a	-	a	a	b	b	a	b	b	b	b	a	-	b	
36470_x1	a	b	a	a	b	b	a	a	a	b	a	-	a	a	b	a	b	a	a	b	a	a	b	a	b	-	b	a	a	a	a	
8925_x1	b	b	b	a	a	b	-	-	a	b	a	b	b	a	a	-	b	b	b	b	a	-	a	a	b	-	-	a	b	-	b	
46442_x1	b	a	b	b	b	b	b	a	a	a	a	a	b	b	a	a	a	b	a	a	b	b	b	a	b	a	b	b	a	b	a	
77134_x1	b	b	b	a	a	-	b	b	a	b	a	b	b	a	a	-	b	b	b	b	-	b	a	a	b	b	b	-	b	b	b	
40359_x1	a	a	a	a	b	b	a	a	b	b	-	a	a	a	a	b	b	a	a	b	a	b	b	a	a	a	a	b	a	a	a	
10550_x1	-	-	b	a	a	-	b	b	-	b	b	-	a	b	b	a	a	b	b	a	b	b	a	b	b	a	a	b	b	b	b	
55103_x1	b	a	a	-	b	a	a	a	a	b	a	-	b	b	a	a	b	a	a	a	-	a	b	b	b	a	b	a	a	b	b	
69953_x1	-	b	b	a	b	b	-	b	b	b	-	a	b	b	-	b	b	b	a	a	-	b	b	-	a	b	b	b	b	b	b	
61335_x1	-	a	b	-	b	a	a	a	b	a	a	b	b	b	a	a	a	a	a	b	a	b	a	a	b	b	a	b	b	a	a	
60506_x1	b	b	a	b	-	-	a	b	b	a	b	b	b	b	b	b	a	b	b	b	a	-	b	b	b	a	b	b	a	-	a	
31485_x1	-	b	b	a	b	b	b	b	-	b	b	b	-	-	b	b	b	b	a	a	b	a	b	-	a	b	a	b	-	a	b	
30015_x1	a	b	b	b	a	-	-	a	b	a	b	b	b	a	a	b	a	a	a	b	b	b	a	a	b	a	b	b	a	b	a	
18850_x1	a	b	a	b	a	a	a	a	a	a	a	a	a	a	a	b	b	b	b	b	b	b	b	b	a	b	b	a	b	b	b	
72236_x1	b	b	a	a	a	b	a	a	-	-	a	b	b	b	b	a	b	b	b	-	b	-	b	b	b	b	-	b	b	a	a	
60939_x1	a	b	b	b	-	a	b	b	b	-	b	b	a	b	-	a	b	b	a	a	b	b	b	b	b	a	b	a	a	b	a	
64806_x1	b	b	a	b	a	a	a	a	a	a	a	a	b	b	b	a	a	a	b	-	a	b	b	a	b	b	b	b	a	a	b	
44262_x1	a	b	b	b	b	b	a	a	a	a	b	a	b	b	a	a	b	b	a	a	-	a	b	b	b	a	-	b	b	a	a	
3560_x1	b	b	a	a	a	a	a	a	-	a	b	-	a	b	b	b	a	a	a	b	b	-	b	b	a	a	a	b	a	a	a	
4287_x1	b	a	b	a	a	a	-	b	b	a	a	b	-	b	b	a	b	a	b	b	b	b	b	-	b	a	b	b	b	b	b	
30013_x1	b	b	a	b	a	a	a	a	a	a	a	a	b	b	b	a	a	a	b	a	a	b	b	-	b	b	b	b	a	-	b	
2619_x2	a	b	a	b	a	-	a	a	a	a	a	a	a	a	a	b	b	b	b	b	b	b	b	-	a	b	b	a	b	b	b	
11897_x1	a	a	a	b	b	b	b	b	-	b	-	a	b	b	b	b	a	a	b	a	-	a	b	b	b	a	a	b	a	a	a	
37550_x1	a	a	a	b	b	b	-	b	b	a	b	-	-	b	b	-	b	b	a	a	b	b	b	a	a	b	a	b	a	a	a	
52074_x1	a	a	b	b	b	b	a	b	-	a	b	a	-	-	a	a	a	a	b	a	-	a	b	-	b	a	b	a	b	b	b	
61783_x1	a	a	b	-	b	b	b	b	-	b	b	b	-	a	a	a	b	b	-	a	b	a	a	b	a	a	-	a	b	b	a	
56629_x1	b	b	a	a	a	a	a	b	a	a	b	a	a	b	b	-	b	a	-	a	a	a	b	b	b	b	a	a	a	a	a	
11056_x1	b	-	a	a	a	a	-	a	a	-	a	b	b	a	a	b	a	a	b	b	a	b	a	b	b	a	b	a	b	b	b	
12905_x1	b	a	a	a	b	b	a	a	-	a	a	b	a	a	-	b	a	a	b	b	a	b	-	b	a	b	b	a	b	a	a	
11178_x1	a	a	b	a	b	b	b	b	a	b	b	a	b	b	b	a	a	a	a	a	b	a	a	a	b	a	a	b	a	a	a	
67960_x1	a	b	b	a	b	a	a	a	a	a	-	b	a	b	b	b	a	b	b	b	b	a	a	b	b	b	a	a	a	a	a	
73050_x1	a	b	b	a	b	a	a	a	a	a	b	b	a	b	b	b	a	b	b	b	b	a	a	b	b	b	-	a	a	a	a	
47784_x1	-	a	a	-	b	a	a	a	a	b	-	a	-	b	a	a	b	a	a	a	-	a	a	b	b	a	b	a	a	b	b	
87265_x1	a	a	b	b	b	b	b	b	b	b	-	a	-	a	b	a	b	a	b	-	-	b	b	a	b	b	-	b	b	b	b	
47882_x1	a	b	b	b	a	b	b	a	b	b	a	-	b	b	a	b	b	a	a	a	b	a	b	b	b	b	a	b	a	a	a	
190_x1	a	a	a	b	a	b	a	b	a	-	b	-	a	b	-	b	b	b	b	b	b	a	b	a	b	b	a	a	b	b	a	
71731_x1	a	a	b	b	b	b	a	b	-	a	-	b	a	a	a	b	a	a	-	a	b	a	a	b	b	a	b	b	a	b	b	
42407_x1	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	b	b	a	a	-	b	a	a	b	a	-	b	a	b	a	
72232_x1	b	-	a	b	a	b	a	a	a	b	a	-	b	a	a	a	a	a	a	b	a	b	a	b	a	a	a	b	b	a	b	
44287_x1	b	b	a	a	b	a	a	b	b	b	b	a	a	b	b	a	b	b	a	b	a	b	b	a	a	b	a	a	b	b	a	
53349_x1	a	b	a	b	a	b	b	a	a	a	b	a	a	a	a	-	a	a	b	-	b	b	-	b	b	b	a	a	a	b	a	
2080_x1	a	b	a	b	-	a	-	a	a	a	b	a	b	a	a	a	a	a	b	a	b	b	a	b	b	a	-	b	b	b	a	
70089_x1	a	a	b	b	b	b	b	b	-	b	a	a	b	a	a	a	b	b	b	a	a	b	a	a	b	b	b	a	b	b	b	
7066_x1	b	a	b	b	b	-	a	a	-	a	-	b	b	-	-	a	b	b	b	-	b	b	b	a	b	b	a	b	b	-	b	
33634_x1	b	b	a	b	b	a	a	a	a	b	a	a	a	b	b	-	b	a	b	a	a	b	b	a	b	b	b	b	a	a	b	
68318_x1	a	a	b	a	a	a	a	b	a	-	-	b	b	a	a	b	b	a	b	b	-	b	a	b	a	b	-	a	b	b	b	
27105_x1	b	a	a	b	a	a	b	b	a	a	-	b	a	b	b	a	b	b	-	a	-	b	b	a	b	b	a	a	b	a	b	
31583_x1	a	b	a	b	b	b	a	a	-	-	-	a	b	a	a	b	b	a	a	b	a	a	b	a	a	b	b	a	a	a	a	
41058_x1	-	a	a	a	b	b	a	b	a	-	b	-	a	b	a	-	a	b	b	a	-	a	a	b	a	a	a	b	a	b	a	
54390_x1	a	a	-	a	a	b	b	a	b	-	-	a	a	a	b	a	a	a	a	-	a	b	-	b	a	b	-	b	a	a	b	
19737_x1	b	a	a	a	b	a	a	b	a	a	-	b	b	a	b	a	a	a	a	a	a	-	b	b	a	b	b	a	b	a	a	
29237_x1	b	a	a	a	-	a	a	b	-	b	b	b	b	-	b	a	a	a	a	a	a	b	b	b	a	b	b	a	b	a	a	
71278_x1	b	a	a	-	b	-	a	a	a	b	a	a	b	b	a	a	b	a	a	a	a	a	-	b	b	a	b	a	a	b	b	
35492_x1	a	a	b	a	a	a	-	b	-	a	b	b	b	a	b	-	a	a	b	b	a	b	b	a	b	b	b	a	a	b	a	
3032_x1	a	b	b	b	a	a	a	b	b	a	a	a	a	a	b	a	b	b	a	b	b	b	a	a	a	a	-	a	b	a	b	
49195_x1	b	a	b	b	-	a	-	-	b	-	-	a	-	a	b	a	b	b	a	b	b	b	b	b	b	b	b	a	b	b	b	
12873_x1	b	b	a	a	-	a	b	b	b	b	a	-	b	b	-	a	a	a	a	a	-	a	b	a	a	-	-	b	a	a	b	
65529_x1	-	-	-	b	b	b	b	a	b	-	a	-	a	b	b	a	a	b	a	a	b	a	b	-	b	b	-	b	a	a	a	
5250_x1	-	b	b	a	b	b	b	b	a	-	a	b	-	b	a	a	b	a	a	a	a	a	a	a	b	a	-	b	a	a	a	
40679_x1	a	a	b	a	b	b	b	a	b	-	a	a	a	a	-	b	a	b	a	a	a	b	b	a	b	b	b	a	b	b	a	
53504_x1	b	b	a	b	a	b	a	b	a	b	b	a	b	a	b	-	b	a	b	a	b	b	b	b	a	a	b	b	a	a	b	
15725_x1	b	b	a	b	b	b	b	a	a	-	a	a	a	a	a	-	b	b	-	a	b	b	a	-	a	b	a	a	a	b	b	
70234_x1	a	a	b	a	-	a	b	a	-	b	a	a	a	a	a	a	b	a	a	a	-	b	a	a	a	b	a	a	b	a	b	
53839_x1	a	a	b	a	a	b	a	a	-	-	b	b	b	-	-	b	b	a	a	b	b	b	a	-	b	a	-	a	a	b	a	
46863_x1	b	a	a	a	a	b	a	b	a	b	b	a	b	b	b	b	a	a	a	b	a	-	a	a	a	a	b	a	b	b	a	
4726_x1	a	a	a	b	a	a	b	a	a	a	a	a	b	a	a	-	b	a	a	a	b	b	a	b	a	b	a	a	b	a	b	
5129_x1	b	b	a	a	a	b	-	a	a	-	a	b	b	b	b	a	b	b	b	b	b	a	b	b	b	b	b	b	b	a	a	
22311_x1	b	b	b	b	b	a	b	-	a	b	-	-	a	a	b	-	b	a	a	-	a	b	a	a	b	a	a	b	a	b	a	
19555_x1	b	a	a	b	b	-	a	a	-	a	-	a	-	-	a	a	a	a	a	a	a	b	b	b	b	a	-	b	b	b	b	
41119_x1	-	a	b	a	a	a	b	b	b	-	b	b	b	a	b	b	b	b	b	a	a	b	a	b	b	a	a	b	a	b	a	
74161_x1	b	b	a	a	b	-	b	a	b	a	a	-	a	b	b	a	b	a	a	b	a	a	a	b	a	b	b	a	a	-	b	
1000_x1	a	b	b	b	a	a	a	a	b	b	a	-	b	b	a	a	b	-	a	b	-	b	b	a	b	b	b	a	-	a	b	
7615_x1	b	b	a	a	a	a	a	b	a	-	b	a	b	a	b	b	a	a	a	a	b	-	b	-	b	b	b	b	b	a	a	
38308_x1	b	b	a	b	a	b	b	a	b	-	a	a	b	b	a	-	a	b	a	a	b	b	a	b	b	b	b	a	a	b	b	
55825_x1	a	b	b	b	a	b	b	a	b	a	a	a	a	b	a	b	b	b	b	b	b	a	a	a	b	a	b	b	a	b	b	
27346_x1	a	b	a	b	-	b	a	a	a	b	a	a	a	-	a	a	a	a	a	b	b	a	b	a	a	b	b	a	b	a	b	
30999_x1	a	b	a	b	b	b	-	a	a	a	a	a	b	a	a	-	b	a	a	-	a	a	b	-	a	b	b	a	a	a	a	
40307_x1	b	b	b	b	a	a	b	a	b	a	a	b	a	b	b	-	a	b	a	a	a	a	b	b	a	b	-	b	a	b	b	
55214_x1	a	-	a	b	b	b	a	a	b	b	a	b	a	b	a	b	b	b	b	-	b	a	b	b	a	a	b	b	b	b	b	
24025_x1	a	b	a	b	b	b	a	a	a	b	a	a	b	a	b	b	b	a	a	b	a	a	b	a	b	b	b	a	a	a	a	
68032_x1	b	a	b	b	a	a	a	a	b	-	b	a	-	a	-	a	b	-	a	b	b	b	b	b	b	b	-	a	b	b	b	
51052_x1	a	a	a	a	b	a	b	b	a	b	a	a	-	a	b	-	a	b	a	b	b	a	b	a	b	b	a	a	b	b	a	
67442_x1	a	a	b	a	a	a	a	b	b	b	b	b	-	b	b	a	a	a	b	b	a	a	b	a	a	a	-	b	b	a	a	
77534_x1	a	b	b	a	b	b	-	b	b	a	b	a	a	a	b	a	b	b	b	a	b	a	-	a	b	b	b	b	a	a	a	
77534_x2	a	a	a	b	a	a	-	a	a	a	b	b	a	a	a	a	a	a	b	b	a	a	-	b	b	a	a	a	a	a	a	
23575_x1	a	b	a	a	a	-	a	b	a	-	b	b	a	a	b	b	b	a	b	b	a	a	a	-	a	b	a	a	b	a	b	
51543_x1	a	b	b	b	-	b	b	b	b	-	a	b	b	b	b	a	b	b	a	b	a	-	a	b	b	-	a	b	a	b	b	
57272_x1	b	b	b	a	a	-	b	b	a	-	a	-	-	a	a	a	b	b	b	b	a	b	a	a	b	-	b	a	-	b	b	
11530_x1	-	b	b	a	b	b	b	b	a	b	a	b	b	b	a	a	b	a	a	a	a	a	a	a	b	a	a	b	a	a	a	
71990_x1	b	a	b	a	a	a	b	b	b	a	-	b	b	a	b	b	b	b	b	a	a	b	a	b	b	a	a	b	a	b	a	
50191_x1	b	b	a	b	b	a	b	b	-	b	b	b	b	b	a	a	b	a	b	b	a	b	a	b	b	a	b	a	b	a	b	
55581_x1	b	a	a	b	a	a	b	b	a	a	b	b	a	b	b	a	b	b	a	a	a	b	b	a	b	b	-	a	b	a	b	
15150_x1	b	a	a	a	b	a	a	a	-	a	b	a	a	a	b	-	a	b	a	a	b	-	a	b	a	b	a	a	a	a	a	
51233_x1	a	b	b	a	b	b	b	b	-	b	b	-	a	a	b	a	b	b	a	b	b	a	b	a	a	b	a	b	a	a	b	
54330_x1	a	b	b	b	a	b	b	a	b	a	a	-	a	b	a	b	b	b	b	b	b	-	a	-	b	a	-	b	a	b	b	
48307_x1	a	b	a	a	b	a	a	a	a	b	b	-	b	a	b	a	a	b	a	a	a	a	a	a	a	b	b	b	a	a	a	
55821_x1	b	b	a	b	a	b	b	b	a	b	-	-	a	a	b	-	b	b	b	a	b	a	b	b	a	a	b	a	a	a	b	
49621_x1	a	a	b	b	-	b	a	b	a	b	a	-	b	a	a	b	a	a	a	-	a	a	a	b	a	b	-	a	a	a	a	
20719_x1	b	a	b	a	-	b	b	b	b	-	a	a	a	b	a	b	b	a	b	-	b	b	b	b	b	a	-	a	b	b	b	
151_x1	a	a	a	b	b	a	b	a	a	a	a	a	b	b	a	a	b	a	a	b	b	b	a	b	a	b	a	a	b	a	b	
48970_x1	b	a	a	b	b	-	b	a	a	-	a	a	-	b	a	b	b	b	b	a	a	b	a	a	a	a	b	a	b	b	b	
67261_x1	-	a	b	a	b	b	b	a	a	a	b	-	a	b	a	a	a	a	a	b	a	b	a	a	a	a	b	b	b	b	a	
12105_x1	b	a	a	b	a	a	a	b	b	b	a	b	b	b	b	a	a	a	a	b	a	a	b	b	a	b	b	a	a	b	a	
8071_x1	-	a	a	b	a	b	a	a	b	b	b	-	a	a	a	-	a	b	a	a	b	a	a	a	b	b	a	b	a	a	a	
52038_x1	-	b	b	a	a	a	a	-	a	-	a	b	b	a	-	b	a	a	b	-	a	a	a	b	b	a	b	a	b	b	b	
47390_x1	a	a	b	a	a	b	b	b	a	b	a	a	b	b	a	b	b	b	b	b	b	a	b	b	b	b	b	b	b	b	a	
52279_x1	b	a	b	a	a	a	b	b	b	a	b	b	b	a	b	b	b	b	b	a	a	-	a	b	b	a	a	b	a	b	a	
20808_x1	a	a	b	b	a	b	a	a	a	a	a	-	a	a	b	b	b	b	a	a	a	a	b	a	a	b	-	b	a	b	a	
52142_x1	b	a	b	b	b	a	a	b	b	a	b	b	b	a	b	b	b	a	b	a	b	a	b	b	b	a	a	b	b	a	a	
31356_x1	b	a	b	b	b	a	b	b	a	b	b	b	b	b	b	a	b	b	a	a	-	a	a	a	a	b	a	a	a	b	a	
52796_x1	b	a	b	a	a	a	b	b	b	-	a	-	b	b	a	b	b	a	b	b	b	b	b	b	b	a	-	b	b	b	b	
52208_x1	b	b	a	b	b	b	a	b	a	b	-	-	b	b	a	b	b	b	b	a	b	a	a	-	b	a	a	a	b	b	a	
65652_x1	b	b	a	b	a	b	b	b	b	b	a	b	a	b	b	a	a	a	a	a	a	a	b	b	a	b	b	b	a	a	a	
78856_x1	a	b	b	a	b	b	-	a	a	a	b	a	a	a	a	-	b	b	b	-	b	b	a	a	b	a	a	b	b	a	b	
71315_x1	b	b	a	a	a	a	a	b	-	a	b	b	b	b	-	-	b	b	b	b	b	a	b	a	a	b	b	b	b	a	a	
76104_x1	b	a	a	-	b	b	b	a	a	-	a	a	b	b	b	a	a	b	b	a	a	a	b	b	a	b	a	a	b	a	b	
36976_x1	-	b	b	b	a	a	b	b	a	b	b	a	-	a	a	-	b	a	-	a	a	a	b	b	b	a	-	b	a	a	a	
71848_x1	a	a	b	b	b	-	b	b	b	a	-	-	-	a	a	-	a	a	a	b	a	b	a	a	a	a	-	b	b	-	b	
21716_x1	a	a	b	b	b	b	b	a	-	b	a	a	a	a	a	b	b	a	a	a	a	b	a	b	b	a	b	a	a	a	b	
41443_x1	a	b	a	b	b	a	b	-	b	-	b	b	a	b	b	a	b	b	a	a	-	a	a	b	b	b	-	a	b	a	b	
48881_x1	a	a	b	a	a	a	-	b	a	b	b	b	a	b	-	a	b	a	b	b	a	a	b	a	a	a	a	b	b	a	a	
76668_x1	-	-	a	b	b	a	a	a	a	b	b	b	b	a	b	a	a	b	a	a	a	a	a	a	a	b	b	b	a	a	a	
19369_x1	-	a	b	a	a	b	a	a	a	-	-	-	a	b	a	b	b	a	a	-	b	b	a	-	b	a	b	a	a	b	a	
41415_x1	a	b	b	a	a	a	-	b	-	b	b	b	a	a	b	a	a	a	a	b	b	a	b	b	b	b	a	b	a	a	a	
12139_x1	-	a	a	b	a	a	a	a	b	a	b	a	a	a	-	b	a	b	b	b	b	b	b	b	a	b	-	a	b	b	b	
73792_x1	b	-	a	a	a	a	b	a	a	-	a	b	a	-	a	-	b	a	a	a	b	a	a	b	b	b	b	b	a	a	a	
17144_x1	a	b	b	a	b	a	b	b	b	b	b	b	a	b	b	b	b	b	b	a	b	b	b	a	b	a	b	a	a	b	a	
57659_x1	b	a	a	a	a	-	a	b	a	b	b	a	a	b	b	-	a	a	a	b	a	a	a	a	a	a	b	a	b	b	a	
843_x1	b	b	a	b	a	a	a	b	-	b	b	b	b	-	a	b	b	a	b	a	a	a	-	a	b	b	a	a	b	b	-	
1408_x1	b	b	a	b	b	b	a	b	a	-	a	b	b	b	a	b	b	b	b	a	b	a	a	a	b	a	b	a	b	b	a	
55740_x1	a	b	b	b	b	a	b	b	a	-	a	-	-	b	a	a	b	b	a	a	b	a	a	a	a	a	a	a	a	b	a	
7794_x1	a	b	a	b	b	a	a	a	-	b	b	b	b	a	b	a	a	b	a	a	a	a	a	a	a	b	b	b	a	a	a	
34246_x1	b	b	a	a	a	b	a	b	a	b	b	b	-	b	b	-	b	a	a	a	-	b	a	b	b	a	-	b	b	a	a	
45470_x1	a	-	a	b	b	a	a	a	-	-	b	b	b	-	b	a	a	b	a	a	a	a	a	a	a	b	b	b	a	a	a	
24494_x1	a	a	b	b	b	a	b	b	-	b	-	-	a	a	a	b	a	a	a	a	a	b	a	a	a	a	-	a	a	b	b	
22775_x1	b	b	b	a	a	-	a	b	a	b	a	b	b	b	a	b	b	a	b	a	b	-	b	b	b	b	b	a	b	a	b	
41447_x1	b	b	a	a	a	-	a	a	a	-	a	b	b	b	b	a	b	b	b	b	b	a	b	b	b	b	b	b	b	a	a	
64122_x1	b	b	-	b	a	b	a	b	a	b	b	b	b	a	-	b	b	a	-	a	a	a	a	a	b	b	a	b	b	b	a	
66973_x1	a	a	b	a	b	b	-	b	-	b	b	b	a	a	a	b	b	b	a	b	b	a	a	b	a	a	a	a	b	b	a	
20818_x1	a	a	a	b	a	b	b	b	a	a	b	a	b	b	a	a	b	b	a	a	b	a	b	b	b	b	b	b	a	-	a	
68712_x1	a	a	a	a	a	-	-	b	-	-	-	b	-	b	a	a	a	a	b	a	a	a	b	a	b	b	-	b	b	a	a	
22218_x1	b	b	b	a	a	a	a	a	b	a	a	b	a	a	a	a	b	b	a	b	a	b	a	a	a	b	b	a	b	b	b	
25506_x1	a	-	a	b	b	b	a	b	b	b	a	b	b	a	a	b	a	a	a	b	-	b	a	b	a	b	b	a	a	a	a	
11052_x1	a	a	b	b	a	b	a	b	-	b	b	b	b	a	a	-	a	b	-	a	b	b	b	a	b	a	a	b	b	b	a	
1837_x1	a	a	b	b	b	b	b	b	b	-	a	b	b	a	b	b	a	a	a	b	a	b	a	a	a	a	b	a	b	b	b	
47362_x1	b	b	a	a	a	a	b	a	b	b	b	a	-	b	-	a	b	b	a	b	a	-	b	a	a	b	a	a	b	-	a	
78082_x1	-	b	a	a	a	b	-	b	-	b	a	b	-	b	b	a	b	a	-	b	-	b	a	a	a	a	b	b	b	a	b	
2167_x1	b	b	a	b	b	b	-	b	b	a	a	-	b	a	-	b	b	a	a	a	a	a	a	b	a	b	a	b	a	b	a	
79201_x1	a	b	a	b	a	b	b	b	a	b	a	b	b	b	a	b	b	a	a	b	a	-	b	b	a	a	b	b	a	b	a	
35307_x1	b	a	a	a	b	a	b	a	a	b	b	b	b	b	b	b	a	a	b	a	a	a	b	b	b	b	a	b	a	b	b	
59532_x1	-	b	a	-	a	b	b	a	-	b	-	-	a	a	-	a	b	b	a	b	a	b	a	b	a	a	a	a	b	a	b	
13969_x1	a	a	b	b	a	-	-	a	-	a	-	-	a	a	-	b	b	b	a	-	a	a	b	a	a	b	a	b	a	b	a	
45614_x1	a	b	a	b	b	b	a	a	a	b	a	a	a	b	a	a	a	a	a	b	b	a	b	a	a	b	b	a	b	a	b	
17406_x1	a	a	a	b	b	a	a	a	b	a	b	a	a	b	b	b	a	a	a	a	b	a	b	b	a	a	a	b	a	a	a	
14772_x1	a	b	a	a	a	b	b	a	a	b	a	a	a	b	a	a	a	b	a	b	a	b	a	a	a	b	b	a	a	b	b	
35477_x1	a	b	b	a	b	-	b	a	-	a	b	a	a	a	a	-	b	b	b	a	b	b	a	a	b	a	a	b	b	a	b	
56595_x1	b	a	a	b	b	a	a	a	a	b	a	a	b	b	a	b	b	a	a	a	a	-	b	b	b	a	b	a	b	b	b	
73891_x1	b	b	a	a	a	b	a	a	a	-	b	-	b	a	a	a	b	a	b	b	b	a	b	b	b	b	a	b	a	a	b	
81606_x1	b	a	b	a	b	a	b	a	a	a	-	a	b	a	-	-	b	a	a	a	b	b	a	b	a	b	a	a	b	a	a	
56529_x1	a	-	-	a	a	b	a	a	a	a	b	-	b	b	a	b	b	a	a	b	b	b	a	b	b	a	-	a	a	b	a	
97050_x1	a	b	a	a	b	b	b	b	a	b	-	-	b	b	a	b	a	a	b	-	a	a	a	a	a	a	a	b	a	a	a	
54160_x1	a	b	a	a	b	b	b	b	b	a	-	a	a	a	-	a	a	b	b	a	b	a	b	a	b	b	b	b	a	-	a	
59594_x1	b	b	b	b	b	a	a	a	b	b	b	b	a	a	b	b	b	a	b	a	b	a	b	b	b	a	a	b	b	a	a	
57359_x1	a	b	b	b	-	a	b	b	b	b	b	b	a	b	-	a	b	b	a	-	b	b	b	b	b	a	-	a	a	b	a	
8476_x1	a	b	b	a	b	a	b	b	a	a	b	b	a	b	b	-	a	b	b	b	b	a	a	b	b	b	b	a	a	a	a	
46958_x1	b	b	a	b	b	b	b	a	b	b	a	a	a	b	b	a	a	b	b	a	b	a	b	a	b	a	b	b	a	a	a	
74673_x1	a	b	b	b	-	-	b	b	b	a	b	-	a	a	b	-	a	b	b	b	b	b	a	a	a	b	-	b	b	a	a	
1280_x1	a	b	b	a	b	b	-	a	b	b	a	a	b	a	a	a	b	a	b	b	b	a	a	b	a	a	b	b	a	b	a	
56208_x1	b	b	a	b	-	-	b	b	b	b	a	-	a	a	b	a	a	b	b	a	a	a	b	a	a	b	-	b	b	a	b	
7692_x2	a	a	a	b	b	a	a	a	b	a	b	a	a	b	-	b	a	a	a	a	b	a	-	-	a	a	a	b	a	a	a	
7692_x1	b	b	a	b	b	b	a	b	b	a	b	a	b	b	-	b	a	b	b	b	b	a	-	-	b	b	a	b	a	b	a	
92776_x1	b	b	a	-	a	b	a	b	a	-	b	-	-	b	b	b	a	b	b	b	a	a	a	a	a	a	a	a	b	b	a	
17872_x1	-	a	b	b	b	b	b	a	b	b	-	-	-	a	a	-	b	a	b	b	a	b	b	b	a	b	a	a	b	b	b	
78200_x1	b	a	a	a	a	a	a	b	b	a	a	a	-	a	b	a	a	b	b	b	a	b	a	a	b	a	-	b	b	b	b	
24071_x1	b	a	a	a	b	b	b	a	-	b	a	a	b	b	b	a	a	b	b	a	a	a	b	b	a	b	a	a	b	a	b	
66971_x1	b	b	b	a	a	a	a	a	b	-	a	-	a	a	-	a	b	b	a	b	a	b	a	a	a	b	b	a	b	b	b	
30303_x1	a	b	b	b	a	a	a	b	b	a	-	b	-	-	a	b	b	a	a	b	b	b	a	a	b	a	b	b	a	b	a	
